DATE\TEAM,ANH,ARI,ATL,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
12/6/2010,,,NSH-H,,,,DAL-H,,,,CBJ-A,SJS-H,,,,,,PIT-A,ATL-A,,,,,NJD-H,DET-A,,,WSH-A,,TOR-H
12/7/2010,EDM-A,,,BUF-H,BOS-A,,,TBL-H,,FLA-A,,,ANH-H,COL-H,,,OTT-H,,,,,MON-A,,,,,CGY-A,,,
12/8/2010,VAN-A,,,,,,,,DAL-H,,CHI-A,NSH-H,,,,,,,DET-A,,,,SJS-H,TOR-H,PHI-A,,,PIT-A,ANH-H,
12/9/2010,,MIN-H,,NYI-H,SJS-H,,STL-A,LAK-A,,,,,,WSH-A,CGY-H,ARI-A,,,,BOS-A,OTT-A,NYR-H,TOR-A,,BUF-A,CBJ-H,,PHI-H,,FLA-H
12/10/2010,CGY-H,,COL-H,,,DAL-A,,ANH-A,,ATL-A,CAR-H,MON-H,TBL-H,,,,DET-A,OTT-A,,,,NJD-H,,,,,EDM-A,,,
12/11/2010,,DAL-H,NYI-A,PHI-H,PIT-H,STL-A,NYR-H,,SJS-A,WSH-A,ARI-A,NJD-A,,NSH-A,MIN-H,LAK-A,TOR-A,DET-H,FLA-H,ATL-H,CBJ-A,,BOS-A,BUF-A,CHI-H,CAR-H,VAN-A,MON-H,TBL-H,COL-H
12/12/2010,MIN-H,,,,,,,,,,,,VAN-H,,,ANH-A,,,,,WSH-H,,,,,,,,EDM-A,NYR-A
12/13/2010,,,OTT-A,,,,CGY-A,CBJ-H,COL-A,CHI-H,SJS-A,LAK-H,,,DET-A,,,,NYI-H,NSH-A,,ATL-H,,,DAL-H,,,,,
12/14/2010,,,,,,,,,,,,,TOR-H,,,,,,,,,,PIT-H,PHI-A,,,,EDM-A,,
12/15/2010,WSH-A,NJD-A,TBL-A,BUF-A,BOS-H,FLA-A,VAN-A,,COL-H,CHI-A,,STL-H,,CAR-H,,,PHI-H,ARI-H,SJS-H,,PIT-A,,MON-A,NYR-H,NSH-A,DET-A,ATL-H,,CBJ-H,ANH-H
12/16/2010,NYI-A,NYR-A,CAR-H,MON-A,,ATL-A,EDM-A,TOR-H,,,SJS-H,,CBJ-H,,STL-A,OTT-H,BOS-H,,,ANH-H,ARI-H,MIN-A,,,DAL-A,LAK-H,,CGY-A,,
12/17/2010,,,,,FLA-A,,,,DET-H,OTT-H,,CHI-A,,BUF-H,,,,NSH-H,NJD-A,,,COL-A,,,,,,,,
12/18/2010,CAR-A,NYI-A,NJD-H,WSH-H,TBL-A,ANH-H,DAL-H,MIN-H,,,CBJ-A,,,,NSH-A,CGY-A,,ATL-A,LAK-H,ARI-H,PHI-A,,NYR-H,,STL-A,SJS-H,BUF-H,VAN-A,TOR-H,BOS-A
12/19/2010,,,,,,,,,LAK-H,MON-H,DET-A,DAL-H,,,CHI-A,,COL-A,,,,,WSH-H,,,,,,,,OTT-A
12/20/2010,BOS-A,PIT-A,TOR-A,ANH-H,,TBL-A,,MIN-A,,,,,,PHI-A,,CGY-H,,,,,,,FLA-H,ARI-H,,VAN-H,CAR-H,ATL-H,STL-A,
12/21/2010,BUF-A,,STL-H,,ANH-H,,CGY-H,CBJ-A,,LAK-H,MON-H,,SJS-A,,COL-A,,DAL-A,WSH-A,,,,,,,EDM-H,ATL-A,,,,NJD-H
12/22/2010,,,,,,,,,NSH-H,,,VAN-H,,PIT-A,,,,,CHI-A,TBL-H,,,,FLA-H,,,NYI-A,,DET-A,
