DATE\TEAM,ANH,ARI,ATL,BOS,BUF,CAR,CJB,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
11/20/2006,,,,FLA-H,TBL-H,,NSH-H,,,DAL-A,COL-H,,,BOS-A,,OTT-A,,,CBJ-A,TOR-A,,MIN-H,PIT-H,PHI-A,,,BUF-A,NYI-H,,
11/21/2006,SJS-H,,,,,NYR-A,,EDM-A,,,,,CGY-H,,,,,,,,CAR-H,,,,ANH-A,,,,,
11/22/2006,COL-A,NJD-H,WSH-A,PIT-A,TOR-H,NYI-A,STL-H,CHI-H,CGY-A,ANH-H,NSH-H,VAN-H,,TBL-H,SJS-A,MON-A,MIN-H,ARI-A,DAL-A,CAR-H,,PHI-A,OTT-H,BOS-H,LAK-H,CBJ-A,FLA-A,BUF-A,DET-A,ATL-H
11/23/2006,,,,,,,,,,,,,,,,,,,VAN-H,,,,,,,,,,NSH-A,
11/24/2006,NJD-H,MIN-A,TBL-A,CAR-H,MON-H,BOS-A,PHI-A,,EDM-A,,LAK-H,STL-H,CHI-H,OTT-H,DAL-A,ARI-H,BUF-A,ANH-A,,PIT-H,,FLA-A,CBJ-H,NYI-A,,DET-A,ATL-H,WSH-A,,TOR-H
11/25/2006,,STL-A,FLA-H,TOR-A,,,MIN-H,LAK-A,,VAN-H,,NSH-A,,ATL-A,CGY-H,CBJ-A,PHI-H,SJS-A,DET-H,WSH-H,PIT-A,,MON-A,NYR-H,NJD-H,ARI-H,,BOS-H,COL-A,NYI-A
11/26/2006,CGY-H,,,,NYR-A,,,ANH-A,,,,,,,,,,,,,BUF-H,TBL-A,,,,,OTT-H,,,
11/27/2006,,,,,,,,,,,DET-A,DAL-H,,,NJD-H,,,LAK-A,,,,,,,,,,,,
11/28/2006,EDM-A,,NYR-A,TOR-A,,OTT-H,VAN-A,COL-H,,CGY-A,,,ANH-H,MON-A,,,FLA-H,,,PIT-A,ATL-H,CAR-A,,NYI-H,STL-A,SJS-H,WSH-H,BOS-H,CBJ-H,TBL-A
11/29/2006,,,,,,,,,DAL-H,,CHI-A,,,,,SJS-H,,,PHI-A,,,,NSH-H,,MIN-A,,,,,
11/30/2006,VAN-A,LAK-H,TOR-H,TBL-H,,MON-H,,,,EDM-A,WSH-A,,COL-H,OTT-A,ARI-A,,CAR-A,,STL-A,PHI-H,,FLA-H,NYI-A,,,NSH-H,BOS-A,ATL-A,ANH-H,DAL-H
12/1/2006,,,,,NYR-H,,CGY-A,CBJ-H,STL-H,,,MIN-A,,,,DET-H,,PIT-H,,,BUF-A,,,NJD-A,,CHI-A,,,,
12/2/2006,LAK-A,,FLA-A,CAR-A,WSH-A,BOS-H,EDM-A,,NSH-A,VAN-A,MIN-H,SJS-H,CBJ-H,ATL-H,ANH-H,DAL-A,TOR-H,PHI-A,CHI-H,PIT-A,,TBL-H,NJD-H,NYI-H,DET-A,,OTT-A,MON-A,COL-H,BUF-H
12/3/2006,LAK-H,,,,,,,,,,,,,,ANH-A,,,,,NYR-A,NYI-H,,,,,,,,,
12/4/2006,,NSH-H,,MON-A,,,,,,,SJS-H,,VAN-A,,,,BOS-H,,ARI-A,,,,,,DAL-A,,,,EDM-H,
12/5/2006,,,TOR-A,,TBL-A,CGY-A,COL-A,CAR-H,MIN-A,CBJ-H,,STL-A,,PIT-A,,CHI-H,,,,OTT-H,,NYI-A,,FLA-H,,DET-H,BUF-H,ATL-H,,
12/6/2006,NSH-H,DAL-A,,,,EDM-A,,,,,ARI-H,,CAR-H,,,,NJD-A,MON-H,ANH-A,,,WSH-A,,,,,,,,OTT-H
12/7/2006,,CHI-A,TBL-A,TOR-H,FLA-A,,,MIN-A,ARI-H,SJS-A,,STL-H,,BUF-H,NSH-H,CGY-H,NYI-A,,LAK-A,MON-H,PIT-H,,,NYR-A,COL-H,DET-A,ATL-H,BOS-A,,
12/8/2006,WSH-A,,,,,VAN-A,,,,,EDM-H,,DAL-A,,,,,PHI-H,,,,,NJD-A,,,,,,CAR-H,ANH-H
12/9/2006,TBL-A,DAL-H,PIT-H,NJD-H,MON-A,,STL-A,VAN-H,MIN-A,LAK-A,ARI-A,TOR-H,,NYI-A,COL-H,CHI-H,BUF-H,BOS-A,SJS-A,FLA-H,OTT-A,NYR-H,WSH-H,ATL-A,NSH-H,CBJ-H,ANH-H,DET-A,CGY-A,PHI-A
12/10/2006,,,,,,,OTT-H,,EDM-H,,,,CHI-A,NYR-A,,,,,,,FLA-H,CBJ-A,,,,,,,,
12/11/2006,,SJS-A,,,,COL-A,,,,CAR-H,,,,,,,,,,,,,,WSH-A,ARI-H,,,,,PIT-H
12/12/2006,FLA-A,VAN-A,,MON-A,NJD-A,,DAL-A,MIN-H,STL-A,,CBJ-H,OTT-H,NSH-A,ANH-H,SJS-H,CGY-A,BOS-H,BUF-H,EDM-H,,PHI-A,DET-A,NYR-H,,LAK-A,CHI-H,TOR-A,TBL-H,ARI-H,
12/13/2006,ATL-A,,ANH-H,,,,,,,STL-H,,,,,,,,,,,,,PIT-A,PHI-H,,COL-A,,,,
12/14/2006,,CBJ-H,,NJD-H,FLA-H,,ARI-A,VAN-A,DET-H,,NYR-H,CHI-A,MIN-H,BUF-A,SJS-A,EDM-A,TBL-H,BOS-A,OTT-H,,DAL-A,NSH-A,,,LAK-H,,MON-A,,CGY-H,
12/15/2006,,,WSH-H,,,TOR-H,,,,EDM-H,,,COL-A,,,,,,,PIT-A,,,,NYI-H,,,,CAR-A,,ATL-A
12/16/2006,SJS-A,CGY-H,NYI-A,FLA-H,OTT-H,TBL-A,CHI-H,ARI-A,CBJ-A,,LAK-A,NJD-A,,BOS-A,DAL-H,VAN-A,PIT-H,DET-H,STL-H,ATL-H,TOR-A,BUF-A,WSH-A,MON-A,ANH-H,NSH-A,CAR-H,NYR-H,MIN-H,PHI-H
12/17/2006,,,,,,,,,COL-H,CHI-A,,,,,,,,NYR-A,STL-A,,NJD-H,,,,,NSH-H,,,,
12/18/2006,CGY-H,,,,,,DET-H,ANH-A,,,,CBJ-A,,,,,,,,,,,,,,,,,,
12/19/2006,,,NJD-A,OTT-A,MON-H,PHI-A,,LAK-A,,EDM-A,,,COL-H,TOR-A,CGY-H,VAN-H,BUF-A,ATL-H,,NYR-A,NYI-H,BOS-H,CAR-H,STL-H,,PIT-A,WSH-A,FLA-H,MIN-A,TBL-H
12/20/2006,DAL-H,,,,,,DET-A,,NSH-H,,ANH-A,CBJ-H,,,,,,,CHI-A,,,,,,,,,,,
12/21/2006,,EDM-H,PIT-H,VAN-H,NSH-A,,,,,,SJS-A,,ARI-A,NYR-H,STL-A,,PHI-H,,BUF-H,,FLA-A,TBL-H,MON-A,ATL-A,DAL-H,LAK-H,OTT-A,,BOS-A,
12/22/2006,,,,,,NYI-H,VAN-H,,TOR-H,,,MIN-H,,,,DET-A,,WSH-A,,CAR-A,,,,,,,,CHI-A,CBJ-A,NJD-H
12/23/2006,ARI-A,ANH-H,NJD-H,MON-H,STL-A,FLA-A,NYI-A,SJS-A,COL-A,CHI-H,EDM-H,MIN-A,DAL-A,CAR-H,NSH-A,DET-H,BOS-A,ATL-A,LAK-H,CBJ-H,TBL-A,PHI-A,OTT-H,,CGY-H,BUF-H,NYR-H,WSH-H,,TOR-A
12/24/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/25/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/26/2006,SJS-A,LAK-A,TBL-H,CBJ-A,WSH-H,FLA-H,BOS-H,VAN-H,DAL-H,,CHI-A,,,CAR-A,ARI-H,TOR-A,,PIT-H,STL-H,NYR-H,NYI-A,,,NJD-A,ANH-H,NSH-A,ATL-A,MIN-H,CGY-A,BUF-A
12/27/2006,,,PIT-A,,,,,VAN-A,,DAL-H,COL-A,MIN-H,,PHI-H,,DET-A,WSH-A,,,OTT-A,,NYI-H,FLA-A,ATL-H,,,,,CGY-H,MON-H
12/28/2006,,SJS-A,,,CAR-H,BUF-A,DET-H,,,,,CBJ-A,LAK-H,,EDM-A,,,,,,,,TBL-A,,ARI-H,,PHI-H,,,
12/29/2006,CAR-A,,,CHI-A,,ANH-H,MIN-A,LAK-H,BOS-H,STL-H,NSH-H,,,MON-H,CGY-A,CBJ-H,FLA-A,WSH-H,DAL-A,,OTT-A,NYR-H,,TOR-H,,COL-A,,PIT-A,,NJD-A
12/30/2006,,SJS-H,BUF-A,NSH-A,ATL-H,,,,,STL-A,,,VAN-H,,,,TBL-A,NYI-A,BOS-H,NJD-H,WSH-H,TOR-A,,,ARI-A,COL-H,MON-H,OTT-H,EDM-A,NYR-A
12/31/2006,MIN-A,,,,,PHI-H,CHI-H,EDM-H,CBJ-A,,SJS-H,LAK-H,CGY-A,,DET-A,ANH-H,,,,,,,CAR-A,,DAL-A,,,,,
1/1/2007,,WSH-A,OTT-A,TOR-A,NYI-H,,,,,NSH-A,,,,,,,,,COL-H,BUF-A,,ATL-H,,,,,,BOS-H,,ARI-H
1/2/2007,DET-A,,MIN-A,,,PIT-A,,VAN-H,STL-A,,,ANH-H,FLA-H,EDM-A,,ATL-H,TBL-H,NYR-H,,PHI-H,NJD-A,,NYI-A,CAR-H,,CHI-H,MON-A,,CGY-A,
1/3/2007,,,,,OTT-A,,LAK-A,,,,VAN-A,,,,CBJ-H,,,,,,,BUF-H,,,,,,,DAL-H,
1/4/2007,,CAR-A,,TOR-H,,ARI-H,,FLA-H,STL-A,,EDM-A,SJS-A,DAL-H,CGY-A,,TBL-H,WSH-A,NYI-H,,NJD-A,PHI-H,,NYR-A,,DET-H,CHI-H,MIN-A,BOS-A,,MON-H
1/5/2007,CBJ-H,ATL-A,ARI-H,,PIT-H,,ANH-A,,NSH-H,TBL-H,,,VAN-A,,,,,,CHI-A,,,,,BUF-A,,,COL-A,,EDM-H,
1/6/2007,,,WSH-A,PHI-H,TOR-A,NYI-H,SJS-A,DAL-H,,MIN-A,CGY-A,LAK-A,,,DET-H,COL-H,NYR-H,OTT-A,STL-H,CAR-A,MON-A,NJD-H,BOS-A,,CBJ-H,NSH-A,,BUF-H,,ATL-H
1/7/2007,DET-H,CHI-A,,,,,,,ARI-H,,,ANH-A,,VAN-A,,,NJD-H,MON-A,,,,PHI-H,OTT-A,TBL-H,,,PIT-A,,FLA-H,
1/8/2007,,,,,,,,,,,,,LAK-A,,EDM-H,,,,,,,,,,,,,,,
