DATE,VISITING TEAM,HOME TEAM,TIME
"SAT OCT 19, 2013",CAROLINA,NY ISLANDERS,7:00 PM ET
,,,
"SAT OCT 19, 2013",COLUMBUS,WASHINGTON,7:00 PM ET
,,,
"SAT OCT 19, 2013",TORONTO,CHICAGO,7:00 PM ET
,,,
"SAT OCT 19, 2013",DETROIT,PHOENIX,9:00 PM ET
,,,
"SAT OCT 19, 2013",CALGARY,SAN JOSE,10:00 PM ET
,,,
"SAT OCT 19, 2013",DALLAS,LOS ANGELES,10:30 PM ET
,,,
"SUN OCT 20, 2013",VANCOUVER,COLUMBUS,6:00 PM ET
,,,
"SUN OCT 20, 2013",NASHVILLE,WINNIPEG,8:00 PM ET
,,,
"SUN OCT 20, 2013",DALLAS,ANAHEIM,8:00 PM ET
,,,
"MON OCT 21, 2013",SAN JOSE,DETROIT,7:30 PM ET
,,,
"MON OCT 21, 2013",COLORADO,PITTSBURGH,7:30 PM ET
,,,
"MON OCT 21, 2013",CALGARY,LOS ANGELES,10:30 PM ET
,,,
"TUE OCT 22, 2013",ANAHEIM,TORONTO,7:00 PM ET
,,,
"TUE OCT 22, 2013",VANCOUVER,NY ISLANDERS,7:00 PM ET
,,,
"TUE OCT 22, 2013",NEW JERSEY,COLUMBUS,7:00 PM ET
,,,
"TUE OCT 22, 2013",EDMONTON,MONTREAL,7:30 PM ET
,,,
"TUE OCT 22, 2013",CHICAGO,FLORIDA,7:30 PM ET
,,,
"TUE OCT 22, 2013",NASHVILLE,MINNESOTA,8:00 PM ET
,,,
"TUE OCT 22, 2013",WASHINGTON,WINNIPEG,8:00 PM ET
,,,
"TUE OCT 22, 2013",CALGARY,PHOENIX,10:00 PM ET
,,,
"WED OCT 23, 2013",OTTAWA,DETROIT,7:30 PM ET
,,,
"WED OCT 23, 2013",BOSTON,BUFFALO,8:00 PM ET
,,,
"THU OCT 24, 2013",SAN JOSE,BOSTON,7:00 PM ET
,,,
"THU OCT 24, 2013",VANCOUVER,NEW JERSEY,7:00 PM ET
,,,
"THU OCT 24, 2013",NY RANGERS,PHILADELPHIA,7:00 PM ET
,,,
"THU OCT 24, 2013",ANAHEIM,MONTREAL,7:30 PM ET
,,,
"THU OCT 24, 2013",CHICAGO,TAMPA BAY,7:30 PM ET
,,,
"THU OCT 24, 2013",WINNIPEG,NASHVILLE,8:00 PM ET
,,,
"THU OCT 24, 2013",CAROLINA,MINNESOTA,8:00 PM ET
,,,
"THU OCT 24, 2013",CALGARY,DALLAS,8:30 PM ET
,,,
"THU OCT 24, 2013",WASHINGTON,EDMONTON,9:30 PM ET
,,,
"THU OCT 24, 2013",PHOENIX,LOS ANGELES,10:30 PM ET
,,,
"FRI OCT 25, 2013",NY ISLANDERS,PITTSBURGH,7:00 PM ET
,,,
"FRI OCT 25, 2013",TORONTO,COLUMBUS,7:00 PM ET
,,,
"FRI OCT 25, 2013",ANAHEIM,OTTAWA,7:30 PM ET
,,,
"FRI OCT 25, 2013",BUFFALO,FLORIDA,7:30 PM ET
,,,
"FRI OCT 25, 2013",VANCOUVER,ST. LOUIS,8:00 PM ET
,,,
"FRI OCT 25, 2013",CAROLINA,COLORADO,9:00 PM ET
,,,
"SAT OCT 26, 2013",EDMONTON,PHOENIX,3:00 PM ET
,,,
"SAT OCT 26, 2013",NEW JERSEY,BOSTON,7:00 PM ET
,,,
"SAT OCT 26, 2013",PITTSBURGH,TORONTO,7:00 PM ET
,,,
"SAT OCT 26, 2013",SAN JOSE,MONTREAL,7:00 PM ET
,,,
"SAT OCT 26, 2013",NY RANGERS,DETROIT,7:00 PM ET
,,,
"SAT OCT 26, 2013",BUFFALO,TAMPA BAY,7:00 PM ET
,,,
"SAT OCT 26, 2013",PHILADELPHIA,NY ISLANDERS,7:00 PM ET
,,,
"SAT OCT 26, 2013",WINNIPEG,DALLAS,7:00 PM ET
,,,
"SAT OCT 26, 2013",MINNESOTA,CHICAGO,8:00 PM ET
,,,
"SAT OCT 26, 2013",ST. LOUIS,NASHVILLE,8:00 PM ET
,,,
"SAT OCT 26, 2013",WASHINGTON,CALGARY,10:00 PM ET
,,,
"SUN OCT 27, 2013",SAN JOSE,OTTAWA,5:00 PM ET
,,,
"SUN OCT 27, 2013",TAMPA BAY,FLORIDA,5:00 PM ET
,,,
"SUN OCT 27, 2013",ANAHEIM,COLUMBUS,6:00 PM ET
,,,
"SUN OCT 27, 2013",WINNIPEG,COLORADO,8:00 PM ET
,,,
"SUN OCT 27, 2013",EDMONTON,LOS ANGELES,9:00 PM ET
,,,
"MON OCT 28, 2013",DALLAS,BUFFALO,7:00 PM ET
,,,
"MON OCT 28, 2013",PITTSBURGH,CAROLINA,7:00 PM ET
,,,
"MON OCT 28, 2013",MONTREAL,NY RANGERS,7:30 PM ET
,,,
"MON OCT 28, 2013",CHICAGO,MINNESOTA,8:00 PM ET
,,,
"MON OCT 28, 2013",WASHINGTON,VANCOUVER,10:00 PM ET
,,,
"TUE OCT 29, 2013",NY RANGERS,NY ISLANDERS,7:00 PM ET
,,,
"TUE OCT 29, 2013",ANAHEIM,PHILADELPHIA,7:00 PM ET
,,,
"TUE OCT 29, 2013",DALLAS,MONTREAL,7:00 PM ET
,,,
"TUE OCT 29, 2013",TAMPA BAY,NEW JERSEY,7:30 PM ET
,,,
"TUE OCT 29, 2013",OTTAWA,CHICAGO,8:00 PM ET
,,,
