DATE\TEAM,ANH,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WPG,WSH
2/5/2013,,,,OTT-A,,LAK-H,DET-A,SJS-A,,,CGY-H,,WPG-A,CBJ-A,,,NYR-H,STL-A,PIT-H,NJD-A,BUF-H,TBL-H,NYI-A,CHI-H,NSH-H,PHI-A,WSH-A,,FLA-H,TOR-H
2/6/2013,COL-A,,MON-A,,,,,,ANH-H,EDM-A,,DAL-H,,,,BOS-H,,,,,,,,,,,,,,
2/7/2013,,CHI-H,,MON-H,OTT-A,CGY-H,CBJ-A,ARI-A,,,STL-A,,PHI-A,NSH-A,VAN-H,BUF-A,TBL-H,LAK-H,NYR-A,NYI-H,CAR-H,FLA-H,WSH-H,,DET-H,NJD-A,WPG-A,MIN-A,TOR-H,PIT-A
2/8/2013,DAL-A,,,,,,,,,ANH-H,,,,,,,,,,,,,,,,,,,,
2/9/2013,STL-A,SJS-A,,NYI-A,PHI-A,,VAN-A,,,,EDM-H,DET-A,WSH-A,,NSH-H,TOR-H,PIT-H,MIN-A,BUF-H,,WPG-H,CAR-H,NJD-A,ARI-H,ANH-H,,MON-A,CGY-H,OTT-A,FLA-H
2/10/2013,,,BUF-A,BOS-H,,EDM-H,,NSH-A,,,LAK-H,CBJ-A,,DET-A,,,PIT-A,CHI-H,,TBL-H,,,NJD-H,,,NYR-A,,,,
2/11/2013,,COL-A,,,NYI-A,SJS-H,MIN-H,,ARI-H,,,,,STL-A,CGY-A,,,,CAR-H,,,TOR-A,,CBJ-A,LAK-H,,PHI-H,,,
2/12/2013,CHI-A,,NYR-H,OTT-A,NJD-A,,,ANH-H,,EDM-A,,DAL-H,WSH-H,,VAN-A,TBL-A,CAR-H,SJS-H,,BOS-A,BUF-H,WPG-A,,NSH-A,,MON-H,,MIN-H,PHI-H,FLA-A
2/13/2013,,,,,,,DAL-H,,,CGY-A,STL-H,,,,,,,,,,PIT-A,,OTT-H,,DET-A,,,,,
2/14/2013,,NSH-A,,,TOR-H,,,,MIN-A,,,,MON-H,,COL-H,FLA-A,,ARI-H,NYR-A,NYI-H,,,,,,WSH-H,CAR-A,,,TBL-A
2/15/2013,DET-A,,BUF-A,BOS-H,,LAK-A,STL-H,SJS-H,,VAN-A,ANH-H,,,CBJ-H,,,PHI-H,,,,,NJD-A,WPG-A,CHI-A,CGY-A,,,DAL-H,PIT-H,
2/16/2013,NSH-A,CBJ-H,,,,ARI-A,,,EDM-A,,,COL-H,TBL-H,,,PHI-H,NYI-A,ANH-H,NJD-H,,TOR-A,MON-A,,,,FLA-A,OTT-H,,,
2/17/2013,,,WPG-A,PIT-H,,,DAL-A,LAK-H,,CGY-H,MIN-A,,,CHI-A,DET-H,,,,,WSH-H,,,BUF-A,,VAN-A,,,STL-H,BOS-H,NYR-A
2/18/2013,CBJ-H,CGY-H,,,MON-A,ANH-A,ARI-A,,NSH-H,,,,TOR-H,,,CAR-H,OTT-H,COL-A,PHI-H,,NJD-A,NYI-A,,,,,FLA-A,,,
2/19/2013,,,,WPG-H,,,,VAN-H,,,NSH-A,LAK-H,,EDM-A,,NYR-A,,DET-H,OTT-A,MON-H,NYI-H,,,STL-A,SJS-H,TOR-H,TBL-A,CHI-A,BUF-A,
2/20/2013,,,,,,,LAK-H,,STL-H,,,,,CGY-A,,,,,,,,PIT-A,PHI-H,,COL-A,,,,,
2/21/2013,,,TBL-A,TOR-A,WPG-H,DET-A,,,,VAN-H,CBJ-H,MIN-H,PHI-A,,EDM-A,NYI-H,WSH-A,,MON-A,OTT-A,NYR-H,FLA-H,,,,BOS-H,BUF-H,DAL-A,CAR-A,NJD-H
2/22/2013,,,,,,,,SJS-H,,,,,PIT-A,,,,,VAN-H,,,,,FLA-H,CHI-A,,,,NSH-A,,
2/23/2013,,EDM-A,,NYI-H,TBL-H,STL-A,MIN-H,,LAK-A,SJS-H,NSH-H,ARI-H,,COL-H,CGY-A,NYR-H,WSH-A,DET-A,BUF-A,MON-A,TOR-H,WPG-H,,DAL-A,CBJ-H,CAR-A,OTT-A,,PHI-A,NJD-H
2/24/2013,COL-H,CGY-A,FLA-A,,NYI-A,CHI-A,ARI-H,CBJ-H,ANH-A,,VAN-H,,BOS-H,,,,WPG-H,,CAR-H,,,,TBL-H,,,PIT-A,,DET-A,NJD-A,
2/25/2013,LAK-A,,,,,,,EDM-H,,NSH-A,,CHI-A,,ANH-H,,OTT-A,,DAL-H,,,MON-H,TOR-H,,,,,PHI-A,,,
2/26/2013,,VAN-A,NYI-A,TBL-A,WSH-A,DAL-H,MIN-A,,SJS-A,CBJ-A,,,PIT-H,,CGY-H,,,,BOS-H,WPG-H,,,FLA-A,COL-H,,BUF-H,,ARI-H,NYR-A,CAR-H
2/27/2013,NSH-H,,,,,,,,,,LAK-A,,,DET-H,,TOR-A,,ANH-A,,,,WSH-H,,,,,MON-H,,,PHI-A
2/28/2013,,MIN-H,OTT-H,FLA-A,PIT-H,,COL-A,STL-A,CGY-H,EDM-H,SJS-A,DAL-A,BUF-H,,ARI-A,,WPG-A,,TOR-H,TBL-H,BOS-A,,CAR-A,DET-H,CHI-H,NYR-A,NYI-A,,NJD-H,
3/1/2013,MIN-H,,,,,CHI-A,,CBJ-H,,,,STL-A,,,ANH-A,,,,,,,,,,EDM-H,,,,,
3/2/2013,ARI-A,ANH-H,TBL-H,NJD-H,FLA-H,,,,,,,,CAR-A,VAN-A,,PIT-H,BUF-A,SJS-A,,,PHI-A,OTT-H,MON-A,NSH-H,,BOS-A,,LAK-H,WSH-H,WPG-A
3/3/2013,,,MON-H,NYR-A,FLA-A,COL-H,VAN-H,DET-A,CBJ-A,STL-H,CHI-H,MIN-A,CAR-H,,EDM-H,BOS-A,,,OTT-H,BUF-H,NYI-A,,,,DAL-A,,,CGY-A,,
3/4/2013,ARI-A,ANH-H,,,,,,,,,,,,NSH-H,,,TOR-A,LAK-A,,,,,TBL-H,,,PIT-A,NJD-H,,,
3/5/2013,,,WSH-A,CAR-A,BUF-H,EDM-H,,MIN-H,DET-A,,COL-H,CBJ-A,WPG-H,STL-H,CHI-A,NYI-A,TBL-H,,MON-H,PHI-H,,NYR-A,,VAN-A,LAK-A,NJD-A,,SJS-H,FLA-A,BOS-H
3/6/2013,ARI-H,ANH-A,,,,,SJS-H,COL-H,CHI-A,,,,,,,,,,,,TOR-A,,,CGY-A,,,OTT-H,,,
3/7/2013,,STL-H,TOR-H,NJD-A,MON-H,VAN-H,,,,LAK-A,EDM-H,DET-A,WSH-A,DAL-H,,CAR-A,BUF-H,,NYR-H,NYI-A,,PIT-H,PHI-A,,ARI-A,WPG-H,BOS-A,CBJ-A,TBL-A,FLA-H
3/8/2013,CGY-H,,,,,,ANH-A,COL-A,CHI-H,,,NSH-A,WPG-H,,,,,EDM-H,,OTT-H,NYR-A,,,,,,,,FLA-A,
3/9/2013,,DAL-H,PHI-H,,NJD-H,DET-H,LAK-A,,,ARI-A,CBJ-A,,,CGY-H,NSH-A,TBL-A,CAR-A,MIN-H,WSH-H,,,BOS-A,TOR-A,STL-H,SJS-A,MON-H,PIT-H,,,NYI-A
3/10/2013,STL-H,,,PHI-A,,DET-A,,EDM-H,SJS-H,,CBJ-H,CHI-A,MON-H,,VAN-H,FLA-A,WPG-H,,PIT-A,WSH-A,,BUF-H,NYI-H,COL-A,ANH-A,,,MIN-A,NJD-A,NYR-H
3/11/2013,,,OTT-A,,,,LAK-A,,,,,,,CGY-H,,,,,,,BOS-H,,,,,,,,,
3/12/2013,MIN-A,LAK-H,PIT-A,NYR-H,WSH-A,VAN-H,,,EDM-H,NSH-H,,COL-A,TBL-H,ARI-A,ANH-H,,,DAL-A,,BUF-A,,,BOS-H,STL-A,SJS-H,FLA-A,WPG-A,CBJ-A,TOR-H,CAR-H
3/13/2013,,,,,,,DET-H,,,,CGY-A,,,,,OTT-H,PHI-H,,,,MON-A,NJD-A,,,,,,,,
3/14/2013,DAL-A,STL-A,FLA-H,,WSH-H,CHI-H,,CBJ-A,MIN-A,ANH-H,,,BOS-A,SJS-A,COL-H,,,VAN-A,TBL-A,WPG-A,,,TOR-A,LAK-H,ARI-H,NYI-H,PIT-H,NSH-H,NYR-H,CAR-A
3/15/2013,,,,,,,NSH-H,,,,EDM-A,DET-H,,,,,PHI-A,CGY-A,,,,NJD-H,,,,,,,,
3/16/2013,STL-A,CBJ-A,WSH-H,OTT-H,TBL-A,ARI-H,,DAL-A,MIN-H,CHI-H,VAN-A,,NYI-H,SJS-H,COL-A,NJD-A,MON-H,,FLA-A,PIT-A,BUF-A,,NYR-H,LAK-A,ANH-H,CAR-H,WPG-H,DET-H,TOR-A,BOS-A
3/17/2013,,,PIT-A,WSH-A,,,,,,,,NSH-H,,,,,,EDM-A,,,WPG-H,,BOS-H,,,,,,OTT-A,BUF-H
3/18/2013,SJS-H,LAK-A,,,NYR-A,,DAL-A,COL-A,CHI-H,CGY-H,,,,ARI-H,VAN-A,,,,,CAR-H,,TBL-A,,ANH-A,,PHI-H,,MIN-H,,
3/19/2013,,LAK-A,WPG-A,MON-A,FLA-H,NSH-H,,,,,,,CAR-A,ARI-H,,BUF-H,NYR-H,CBJ-A,OTT-H,NJD-A,NYI-A,,WSH-H,,VAN-A,,,STL-H,BOS-H,PIT-A
3/20/2013,CHI-H,,,,,,,ANH-A,DAL-H,COL-A,MIN-H,SJS-H,,,DET-A,,,,,,,,,EDM-A,,TOR-A,TBL-H,,,
3/21/2013,,VAN-H,OTT-A,TOR-H,NJD-H,,NSH-A,,,LAK-A,,,NYR-A,DAL-H,,NYI-A,CAR-A,CGY-H,MON-H,FLA-H,BOS-H,,,,,,BUF-A,ARI-A,WSH-H,WPG-A
3/22/2013,DET-H,,,,,CGY-H,CBJ-A,,,,ANH-A,,,,,,,,PIT-H,,,,NYI-A,,,,,,WSH-H,WPG-A
3/23/2013,,,TOR-A,MON-A,,NSH-A,,,DAL-A,COL-H,,STL-H,NJD-A,VAN-H,SJS-H,BUF-H,FLA-H,CBJ-H,,,TBL-H,,,MIN-A,EDM-A,OTT-A,BOS-H,LAK-A,,
3/24/2013,DET-H,,,,,,STL-H,,VAN-H,,ANH-A,,NYI-A,,,,,,FLA-H,WSH-H,,PIT-A,PHI-H,,CGY-A,WPG-A,,COL-A,TBL-H,NYR-A
3/25/2013,SJS-H,DET-H,TOR-H,,,,,LAK-H,,MIN-H,ARI-A,NSH-A,,CHI-A,DAL-A,,OTT-A,EDM-H,,,NJD-H,,,ANH-A,,,BOS-A,,,
3/26/2013,,,,TBL-A,WPG-H,VAN-A,CHI-A,CGY-H,,,,STL-A,TOR-A,,,PIT-A,,,WSH-A,PHI-A,,NYR-H,MON-H,,EDM-H,BUF-H,FLA-H,CBJ-H,CAR-A,NYI-H
3/27/2013,SJS-A,MIN-A,MON-H,,,,COL-H,,CGY-A,,,,,,ARI-H,BOS-A,,,,,,,,ANH-H,,,,,,
3/28/2013,,NSH-A,,FLA-A,TOR-A,EDM-A,,,VAN-A,,SJS-A,CBJ-H,BUF-H,STL-A,,,,ARI-H,PHI-A,OTT-A,NYR-H,NYI-H,WPG-H,DET-H,LAK-H,,CAR-H,COL-H,PIT-A,
3/29/2013,CHI-A,,,,,CGY-A,CBJ-H,ANH-H,,MIN-H,,,,,DAL-A,,TBL-A,,,,,,,,,NJD-H,,,,
3/30/2013,,SJS-A,PHI-A,WSH-H,WPG-A,,,,NSH-H,,,VAN-H,NJD-H,MIN-A,LAK-H,NYR-H,FLA-A,COL-A,PIT-A,MON-A,TOR-H,BOS-H,NYI-H,ARI-H,,,OTT-A,EDM-A,CAR-H,BUF-A
3/31/2013,CBJ-A,,BUF-A,BOS-H,,ANH-H,,DET-A,,LAK-H,CHI-H,,,DAL-A,,,,,,,,WSH-H,,,,,,,,PHI-A
4/1/2013,DAL-A,,,,MON-A,,EDM-A,NSH-H,DET-A,ANH-H,COL-H,CGY-H,,,STL-H,CAR-H,NYI-H,CHI-A,NJD-A,WPG-H,,,,VAN-H,MIN-A,,,SJS-A,NYR-A,
4/2/2013,,LAK-H,OTT-H,PIT-A,WSH-H,,,,NSH-A,,,,TBL-A,ARI-A,,,,COL-H,WPG-H,,BOS-A,,BUF-H,,,FLA-H,,,NYI-A,CAR-A
4/3/2013,DAL-H,,,,,,EDM-H,,,ANH-A,,CGY-A,,,SJS-A,PHI-A,,,,PIT-H,,MON-H,NYR-A,MIN-H,,,,,,
4/4/2013,,DET-H,NJD-H,,TBL-H,NSH-A,,STL-H,,,ARI-A,VAN-A,,MIN-H,LAK-A,WPG-H,BOS-A,CBJ-H,WSH-A,,,TOR-A,,,CHI-A,CAR-A,PHI-H,EDM-H,MON-A,NYI-H
4/5/2013,DAL-H,,,OTT-H,,STL-A,SJS-A,,DET-H,ANH-A,COL-A,,,,,,,,,PIT-A,BUF-A,,NYR-H,CGY-H,CBJ-H,,,,,
4/6/2013,,COL-H,MON-A,,NYR-H,,VAN-A,NSH-A,ARI-A,,,LAK-A,WSH-H,EDM-H,,BOS-H,TOR-H,CHI-H,TBL-H,CAR-A,,WPG-A,,,,NYI-A,NJD-A,CGY-H,PHI-H,FLA-A
4/7/2013,LAK-H,,,NJD-H,,MIN-H,,NSH-H,,SJS-A,STL-H,,OTT-H,ANH-A,CBJ-A,,BUF-A,CHI-A,,,FLA-A,,,DAL-H,DET-A,WSH-A,,,,TBL-H
4/8/2013,EDM-H,VAN-A,CAR-H,,BOS-A,,COL-A,,CGY-H,,,ANH-A,,,,,,,,TOR-A,,,,,,,NYR-H,ARI-H,,
4/9/2013,,,,WPG-A,PIT-H,SJS-H,,MIN-A,,LAK-H,,,,DAL-A,CHI-H,WSH-H,,STL-H,PHI-H,,TBL-A,NYI-A,CAR-A,CBJ-A,NSH-A,OTT-H,,,BUF-H,MON-A
4/10/2013,COL-H,EDM-A,NJD-A,,,,VAN-H,,ANH-A,,,ARI-H,,,,,BOS-H,,,TOR-H,,,,,,,NYR-A,CGY-A,,
4/11/2013,,,NYI-H,MON-H,WSH-A,,,,LAK-A,,SJS-H,,WPG-A,COL-H,STL-H,BUF-A,,,BOS-A,,PHI-A,OTT-H,TBL-A,DET-A,MIN-A,PIT-H,,,FLA-H,CAR-H
4/12/2013,,CGY-A,,,,STL-H,ARI-H,DET-H,,NSH-A,CHI-A,,,,,,OTT-H,DAL-H,,,NJD-A,,,,CBJ-A,,,,,
4/13/2013,LAK-A,,CAR-A,PHI-H,BOS-H,MIN-A,EDM-A,,VAN-H,SJS-H,,CGY-H,PIT-H,ANH-H,CBJ-H,TOR-A,,,NYR-H,NYI-A,,BUF-A,FLA-A,DAL-A,,WSH-A,MON-H,COL-A,,TBL-H
4/14/2013,,,,TBL-H,,,,STL-A,,,NSH-A,,,,,,,DET-H,,,,,,,CHI-H,BUF-A,,,,
4/15/2013,,SJS-H,,,,COL-A,MIN-H,DAL-H,CBJ-H,CHI-A,,,,,CGY-A,PHI-H,TOR-A,VAN-H,,,,MON-A,,ARI-A,,,NJD-H,NSH-A,,
4/16/2013,,,,,OTT-A,,,,,,,MIN-H,NYI-A,SJS-A,EDM-A,,,,FLA-H,PHI-A,CAR-H,NYR-H,,LAK-H,VAN-H,WPG-A,WSH-A,STL-A,TBL-H,TOR-H
4/17/2013,CBJ-H,,BUF-H,BOS-A,,ANH-A,DET-H,,,,CGY-A,,,,,PIT-A,,,,,,,MON-H,,,,,,,
4/18/2013,,STL-A,,,WPG-A,LAK-A,,,,VAN-H,,,NYR-A,CBJ-H,SJS-A,TBL-H,PHI-A,,TOR-A,FLA-H,WSH-H,NJD-H,,MIN-H,ARI-H,MON-A,NYI-H,DAL-A,CAR-H,OTT-A
4/19/2013,CGY-A,,,NYR-H,,,ANH-H,NSH-H,EDM-H,STL-A,,COL-A,,,,,,CHI-A,,BUF-A,,,,,DAL-H,,,,,
4/20/2013,,CHI-A,PIT-H,,PHI-H,,,ARI-H,,,VAN-A,,NJD-A,,,WSH-H,FLA-H,,WPG-A,,TOR-H,CAR-A,BOS-A,,,,OTT-A,DET-H,NYI-H,MON-A
4/21/2013,EDM-A,,FLA-H,,TBL-A,SJS-A,MIN-A,,STL-H,LAK-A,,ANH-H,BOS-A,DAL-H,CGY-H,,NYR-A,,,NJD-H,,,,CBJ-H,COL-A,CAR-H,,,,
4/22/2013,EDM-A,DET-A,,WPG-H,,,,VAN-A,,,ARI-H,ANH-H,,,,,,,,,PIT-H,,OTT-A,,,,,CHI-H,BUF-A,
4/23/2013,,,PHI-A,PIT-A,NYI-H,,NSH-A,,STL-A,SJS-A,,,NYR-H,MIN-A,LAK-H,NJD-A,MON-H,CGY-H,CAR-A,FLA-A,,BOS-H,BUF-H,DAL-H,COL-H,,,,WSH-A,WPG-H
4/24/2013,,SJS-H,,,,,,EDM-A,,,LAK-H,CHI-H,,DET-A,,,,,,,,,,ARI-A,,TOR-H,TBL-A,,,
4/25/2013,VAN-A,,TBL-H,,NYR-H,DAL-A,STL-A,,,CBJ-H,NSH-H,,TOR-H,,,WPG-A,PIT-H,DET-A,PHI-A,CAR-A,WSH-A,NYI-H,NJD-A,,CGY-H,BOS-A,FLA-A,ANH-H,MON-H,OTT-H
4/26/2013,,COL-H,,NYI-H,,,CHI-A,CGY-H,ARI-A,,,MIN-A,,,EDM-H,,,,BUF-A,,,,,,,,,,,
4/27/2013,ARI-H,ANH-A,WSH-A,,PIT-A,NSH-H,,STL-A,MIN-H,DET-H,DAL-A,VAN-H,TBL-A,SJS-H,COL-A,TOR-A,NYR-A,CBJ-A,,NJD-H,PHI-H,OTT-A,CAR-H,LAK-A,CHI-H,FLA-H,MON-H,EDM-A,,BOS-H
4/28/2013,,,OTT-H,,,,,,,,,,,,,,,,,,BOS-A,,,,,,,,,
