DATE\TEAM,ANH,ARI,CHI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
11/16/2008,LAK-H,,PHI-A,,,TBL-H,,,SJS-H,,,,,,ANH-A,,STL-A,,,,,,ATL-H,,CHI-A,MON-H,CAR-A,,,
11/17/2008,,,,TOR-A,,,,,,,,EDM-H,DET-A,,,,,,SJS-H,VAN-H,OTT-H,NYR-A,,,NSH-A,,,BOS-H,NYI-A,
11/18/2008,,CHI-H,,,,MON-H,EDM-H,COL-H,ARI-A,CGY-A,,,CBJ-A,TBL-A,,PIT-A,CAR-A,,,,,,,MIN-H,,,FLA-H,,,
11/19/2008,WSH-H,,,BUF-H,BOS-A,,,,,,,,,,,,,,,,VAN-H,,,,,,,,NYR-A,ANH-A
11/20/2008,,,PIT-H,,,,,COL-A,DAL-A,CGY-H,CHI-H,EDM-A,DET-H,NJD-A,WSH-H,VAN-H,OTT-A,FLA-H,,,,MON-H,,ATL-A,,,,,MIN-A,LAK-A
11/21/2008,STL-A,CAR-A,,FLA-H,PHI-H,ARI-H,,,,,,,,BOS-A,,,,NYI-H,TBL-A,NJD-A,,,BUF-A,,,ANH-H,NSH-H,,,
11/22/2008,DAL-A,PHI-A,CBJ-H,MON-A,NYI-H,,ATL-A,DET-H,TOR-A,LAK-A,ANH-H,CGY-A,,,COL-H,STL-H,BOS-H,,,BUF-A,OTT-A,NYR-H,ARI-H,VAN-H,WSH-H,MIN-A,,CHI-H,PIT-A,SJS-A
11/23/2008,,,,,,NSH-H,,,,,,,,,,,,TBL-A,CAR-A,,,,,,,,NJD-H,,,
11/24/2008,COL-H,NYR-A,,,,FLA-A,,,,ANH-A,PHI-A,VAN-A,,CAR-H,,WSH-H,NYI-H,,,MON-A,ARI-H,,DAL-H,,,,,,DET-H,MIN-A
11/25/2008,,,TOR-A,,,,,LAK-H,,,,,,,CGY-A,,,,STL-H,,,,,,,NSH-A,,ATL-H,,
11/26/2008,,CBJ-A,WSH-A,BUF-A,BOS-H,PHI-H,ARI-H,,SJS-A,STL-H,MIN-A,MON-H,LAK-H,NJD-H,EDM-A,DAL-H,DET-A,FLA-A,,PIT-H,TBL-A,,CAR-A,NYI-A,CHI-H,COL-A,NYR-H,,,ATL-H
11/27/2008,,,,,,,,VAN-A,,,,,,,,,,,,,,TOR-H,,,,,,OTT-A,CGY-H,
11/28/2008,CHI-H,COL-H,NSH-H,NYI-H,PIT-H,PHI-A,DET-A,,ANH-A,ARI-A,SJS-H,CBJ-H,,NYR-H,,TBL-H,WSH-A,,ATL-A,BOS-A,FLA-A,,CAR-H,BUF-A,DAL-A,,MIN-A,,,MON-H
11/29/2008,,SJS-H,,DET-H,MON-A,,WSH-H,VAN-H,LAK-A,TBL-H,,BOS-A,STL-A,,CHI-H,NSH-A,BUF-H,PIT-A,MIN-H,OTT-H,,NYI-A,TOR-A,NJD-H,ARI-A,EDM-H,COL-A,PHI-H,CGY-A,CBJ-A
11/30/2008,CAR-A,,STL-H,,,ANH-H,,,,,EDM-H,,DAL-A,NYR-A,,,,,,,FLA-H,,,,,ATL-A,,,,
12/1/2008,DET-A,,,,NSH-H,,VAN-H,,,MIN-A,,ANH-H,,,TOR-H,COL-H,,,BUF-A,,,,,,,,,LAK-A,CBJ-A,
12/2/2008,,LAK-H,MON-A,,,,,DAL-H,,,CGY-A,,,WSH-A,ARI-A,,ATL-H,,,,,,TBL-H,,TOR-H,,PHI-A,SJS-A,,FLA-H
12/3/2008,CHI-A,,OTT-A,,,,,,ANH-H,,EDM-A,,DAL-H,,,STL-H,,,,,PIT-H,ATL-H,,NYR-A,,MIN-A,,,,
12/4/2008,,TOR-H,,TBL-A,FLA-A,PIT-H,SJS-A,,,NSH-A,,VAN-H,,BUF-H,,,NYR-H,PHI-A,COL-H,WSH-A,MON-A,,NJD-H,CAR-A,CBJ-H,,BOS-H,ARI-A,DET-A,NYI-H
12/5/2008,,,,,,,,STL-A,,DAL-A,COL-H,,LAK-A,,EDM-H,VAN-H,,,,,,,,,,CGY-H,,,MIN-A,
12/6/2008,,STL-A,NYI-A,FLA-A,TBL-A,PHI-H,LAK-A,,DET-A,,,CHI-H,SJS-A,BOS-H,CBJ-H,NSH-A,NJD-H,MON-A,MIN-H,ATL-H,,PIT-H,CAR-A,OTT-A,EDM-H,ARI-H,BUF-H,WSH-H,,TOR-A
12/7/2008,CBJ-H,CHI-A,,,,WSH-H,ANH-A,NYR-A,ARI-H,VAN-H,,,,,,,,,,,CGY-H,,,,,,,,COL-A,CAR-A
12/8/2008,,,,TBL-H,PIT-A,,,,,,,,,OTT-A,,,,,STL-A,TOR-A,,FLA-H,,BUF-H,,NSH-H,BOS-A,NYI-H,,
