DATE\TEAM,ANH,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WPG,WSH
11/20/2011,DET-H,,,,TOR-H,,,,SJS-H,,ANH-A,,,,,,,,,,VAN-A,,,COL-A,,,CAR-A,OTT-H,,
11/21/2011,,WSH-A,MON-A,,PHI-A,CGY-H,CBJ-A,,,EDM-H,,DAL-A,NJD-H,,,BOS-H,FLA-A,,PIT-A,,,CAR-H,NYI-H,,,,,,,ARI-H
11/22/2011,,,,,,,,,,,,NSH-A,,STL-A,,,,EDM-H,,,,,,,LAK-H,TOR-H,TBL-A,,,
11/23/2011,ARI-A,ANH-H,BUF-A,BOS-H,MON-H,NJD-A,DET-A,SJS-A,VAN-H,LAK-H,CGY-H,,NYR-H,DAL-A,NSH-H,CAR-A,CBJ-H,MIN-A,PHI-H,FLA-A,,NYI-A,STL-H,CHI-H,PIT-A,,,COL-A,WSH-A,WPG-H
11/24/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2011,CHI-H,VAN-H,DET-H,CBJ-A,WPG-H,BUF-H,STL-A,ANH-A,,TOR-H,BOS-A,MIN-A,TBL-H,,EDM-H,PHI-A,NYI-A,,NJD-H,WSH-A,PIT-A,MON-H,OTT-H,,CGY-H,FLA-A,DAL-A,ARI-A,CAR-A,NYR-H
11/26/2011,,DAL-H,WPG-H,WSH-H,,,,LAK-A,EDM-H,ARI-A,NSH-H,COL-A,TBL-A,CHI-H,,PIT-H,NYI-H,DET-A,NJD-A,PHI-H,,NYR-A,MON-A,VAN-H,,FLA-H,,SJS-A,BOS-A,BUF-A
11/27/2011,TOR-H,,,,OTT-A,STL-H,MIN-A,,,,,,,,CGY-H,,,,,,CAR-H,,,,CBJ-A,,ANH-A,,,
11/28/2011,,,,,,,,,DAL-H,COL-A,,NSH-H,,SJS-H,TBL-H,,,EDM-A,,,,,,LAK-A,,MIN-A,,,,
11/29/2011,,CHI-A,,NYI-H,FLA-H,VAN-A,NSH-H,ARI-H,,,,,CAR-A,,,,,CGY-A,BUF-A,PIT-H,WPG-A,,NYR-A,,WSH-A,,,CBJ-H,OTT-H,STL-H
11/30/2011,MON-H,,TOR-A,,,,,,NJD-H,,TBL-H,MIN-H,,,EDM-A,ANH-A,COL-A,,,,,,,,,DET-A,BOS-H,,,
