HOME,AWAY,DATE,TIME (ET)
TBL,FLA,"NOV 26, 2011",7:00 PM
DET,NSH,"NOV 26, 2011",7:00 PM
ARI,DAL,"NOV 26, 2011",8:00 PM
SJS,VAN,"NOV 26, 2011",10:00 PM
LAK,CHI,"NOV 26, 2011",10:30 PM
OTT,CAR,"NOV 27, 2011",5:00 PM
CBJ,STL,"NOV 27, 2011",6:00 PM
MIN,CGY,"NOV 27, 2011",6:00 PM
ANH,TOR,"NOV 27, 2011",9:00 PM
MIN,TBL,"NOV 28, 2011",7:30 PM
COL,DAL,"NOV 28, 2011",9:00 PM
EDM,NSH,"NOV 28, 2011",9:30 PM
LAK,SJS,"NOV 28, 2011",10:30 PM
BUF,NYI,"NOV 29, 2011",7:00 PM
WSH,STL,"NOV 29, 2011",7:00 PM
CAR,FLA,"NOV 29, 2011",7:00 PM
NYR,PIT,"NOV 29, 2011",7:30 PM
WPG,OTT,"NOV 29, 2011",8:30 PM
CHI,ARI,"NOV 29, 2011",8:30 PM
CGY,NSH,"NOV 29, 2011",9:30 PM
VAN,CBJ,"NOV 29, 2011",10:00 PM
TOR,BOS,"NOV 30, 2011",7:00 PM
DET,TBL,"NOV 30, 2011",7:30 PM
COL,NJD,"NOV 30, 2011",9:30 PM
EDM,MIN,"NOV 30, 2011",9:30 PM
ANH,MON,"NOV 30, 2011",10:00 PM
WSH,PIT,"DEC 1, 2011",7:00 PM
CAR,NYR,"DEC 1, 2011",7:00 PM
WPG,ARI,"DEC 1, 2011",8:30 PM
DAL,OTT,"DEC 1, 2011",8:30 PM
CGY,CBJ,"DEC 1, 2011",9:00 PM
VAN,NSH,"DEC 1, 2011",10:00 PM
LAK,FLA,"DEC 1, 2011",10:30 PM
SJS,MON,"DEC 1, 2011",10:30 PM
BUF,DET,"DEC 2, 2011",7:30 PM
MIN,NJD,"DEC 2, 2011",8:00 PM
CHI,NYI,"DEC 2, 2011",8:30 PM
COL,STL,"DEC 2, 2011",9:00 PM
EDM,CBJ,"DEC 2, 2011",9:30 PM
ANH,PHI,"DEC 2, 2011",10:00 PM
LAK,MON,"DEC 3, 2011",3:30 PM
BOS,TOR,"DEC 3, 2011",7:00 PM
WSH,OTT,"DEC 3, 2011",7:00 PM
