DATE\TEAM,ANH,ARI,ATL,COL,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
12/13/2007,,NYI-A,,NJD-H,,,,TBL-A,,NSH-A,LAK-H,EDM-H,DET-A,STL-A,DAL-A,,PHI-A,BOS-A,COL-H,ARI-H,,PIT-A,MON-H,OTT-H,VAN-H,FLA-H,CGY-H,,SJS-A,
12/14/2007,MIN-H,,TOR-H,,WSH-A,CGY-H,,CAR-A,,,,,,,,ANH-A,,,,,,,,,,,,ATL-A,,BUF-H
12/15/2007,,NJD-A,OTT-A,CBJ-H,CHI-H,PHI-A,BOS-A,,BUF-A,NSH-H,SJS-A,FLA-H,VAN-H,DET-A,MIN-H,LAK-A,TOR-H,ARI-H,COL-A,PIT-H,,ATL-H,CAR-H,NYI-A,DAL-H,,WSH-H,MON-A,EDM-A,TBL-A
12/16/2007,SJS-H,NYR-A,,,,,,STL-A,FLA-H,,,,,CHI-A,,,,PHI-H,,,ARI-H,,NJD-A,,ANH-A,CGY-H,,,,
12/17/2007,,,,,,,,,,LAK-A,,WSH-H,,,COL-H,,,,,,,,,,,,,,,DET-A
12/18/2007,SJS-A,PHI-A,TBL-H,OTT-H,,TOR-H,CGY-H,CBJ-A,,,EDM-A,,DAL-H,MON-A,,NSH-H,FLA-H,VAN-A,MIN-A,,PIT-H,BOS-A,ARI-H,NYR-A,ANH-H,,ATL-A,CAR-A,NJD-H,
12/19/2007,COL-H,,,,NYI-A,,,,NSH-H,ANH-A,,LAK-H,,,DET-A,,,,CHI-A,BUF-H,,,,,,,,,,
12/20/2007,,SJS-A,OTT-H,PIT-H,,FLA-A,,,,,VAN-A,STL-A,,CAR-H,,NYR-H,WSH-A,,,,MIN-A,ATL-A,,BOS-A,ARI-H,DET-H,TOR-H,TBL-A,DAL-H,MON-H
12/21/2007,,,,,PHI-H,,LAK-H,DAL-H,,NYR-H,CGY-A,,NJD-H,,CBJ-A,,,EDM-A,,PIT-A,COL-A,,BUF-A,NYI-H,,,,,,
12/22/2007,SJS-A,VAN-H,MON-H,STL-H,PHI-A,TBL-A,,,OTT-A,,,MIN-A,,TOR-H,NSH-A,DET-H,ATL-A,,LAK-H,WSH-H,,CHI-H,BUF-H,,ANH-H,BOS-A,CAR-H,FLA-A,ARI-A,NYI-A
12/23/2007,,,STL-A,PIT-A,,,NSH-H,NJD-H,EDM-H,VAN-H,MON-H,,CHI-A,,,,DAL-A,CGY-A,CBJ-A,,OTT-H,NYR-A,,BOS-H,,ATL-H,,,COL-A,
12/24/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/25/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/26/2007,,,CBJ-A,,OTT-H,NYR-A,ATL-H,,NSH-H,,MIN-H,STL-A,,,SJS-H,DAL-A,,,CHI-A,TOR-H,CAR-H,BUF-A,,,LAK-A,DET-H,WSH-A,NYI-A,,TBL-H
12/27/2007,EDM-A,MIN-H,FLA-H,,,,NSH-A,VAN-A,,DET-H,,COL-A,ANH-H,ATL-A,,ARI-A,TBL-A,,CBJ-H,OTT-A,,NYI-H,TOR-H,WSH-H,,,MON-H,PHI-A,CGY-H,PIT-A
12/28/2007,,,,CAR-A,NJD-A,BOS-H,,,,,,,,MON-H,,,FLA-A,BUF-H,,,,,,,STL-A,SJS-H,,,,
12/29/2007,CGY-A,DET-H,BOS-H,ATL-A,PIT-A,CBJ-A,CAR-H,ANH-H,,LAK-H,STL-H,ARI-A,MIN-A,,COL-A,EDM-H,,NYI-A,SJS-H,NJD-H,TOR-A,WSH-H,TBL-A,BUF-H,NSH-A,DAL-A,PHI-H,NYR-H,,OTT-A
12/30/2007,VAN-A,,,,,,,,LAK-H,,,,,PHI-H,CHI-A,,NYR-A,,,,MON-H,,FLA-A,,,,,,ANH-H,
12/31/2007,,COL-H,BOS-A,ATL-H,,NYI-H,EDM-H,VAN-H,,ARI-A,NSH-H,STL-H,CBJ-A,,,SJS-H,,,DAL-A,CAR-A,,,,,MIN-A,DET-A,,,CGY-A,
1/1/2008,,,,,PIT-H,,,,LAK-A,,,,,,CHI-H,,,,,,,WSH-A,,BUF-A,,,TOR-A,TBL-H,,OTT-H
1/2/2008,CBJ-H,COL-A,CAR-A,,,ATL-H,ANH-A,NYR-H,,ARI-H,DET-A,DAL-H,STL-A,NJD-A,,,,FLA-H,,,CGY-A,,,,,EDM-H,,,,
1/3/2008,,CHI-H,,WSH-H,,,LAK-A,SJS-A,ARI-A,,MIN-A,,NSH-A,NYI-A,CBJ-H,DAL-H,TBL-H,,EDM-H,FLA-H,VAN-A,,,TOR-H,CGY-H,,MON-A,PIT-A,NYR-H,BOS-A
1/4/2008,CHI-H,,CAR-H,,OTT-H,ATL-A,,,ANH-A,,,,,,,,,PHI-H,,,,BUF-A,NJD-A,,,,,,,
