DATE\TEAM,ANH,ARI,ATL,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
12/6/2005,CAR-H,,SJS-A,,,ANH-A,,PHI-A,,,,NJD-H,,,TOR-A,,,DET-A,,STL-A,,,CGY-H,,ATL-H,NYI-H,,LAK-H,,
12/7/2005,,,,COL-A,,,,NJD-A,NYR-H,BOS-H,FLA-H,,,DAL-A,,,,CGY-H,WSH-A,,CHI-A,,,,,,,,,NSH-H
12/8/2005,BUF-A,,,,ANH-H,LAK-A,NYI-H,,,,,,PHI-A,SJS-A,CAR-H,PIT-A,,,NYR-H,CBJ-A,NSH-A,,EDM-H,MIN-H,FLA-H,TBL-A,STL-H,,,
12/9/2005,,,CBJ-H,,,,ATL-A,,,NJD-A,,WSH-A,,,,,,COL-H,,,,VAN-A,,,,,,,OTT-H,DET-H
12/10/2005,MON-A,,,,,SJS-A,,OTT-H,,PIT-A,TOR-A,,NYI-A,LAK-A,FLA-H,PHI-A,ANH-H,,TBL-A,EDM-H,STL-A,CGY-A,MIN-H,COL-H,CAR-H,NYR-H,NSH-H,DAL-H,,
12/11/2005,,BOS-A,CHI-H,ARI-H,MIN-A,,NJD-H,,ATL-A,,,,,,,BUF-H,,CBJ-A,,,,,,,,,,,,
12/12/2005,TOR-A,,,,,,,,,OTT-H,,PIT-H,,,,,,,,,,COL-A,,DET-A,,,,ANH-H,,
12/13/2005,,MON-A,DET-H,,,CHI-H,PHI-H,,CAR-A,,,ATL-A,NJD-A,NSH-H,,NYI-A,ARI-H,EDM-H,FLA-A,MIN-H,VAN-H,,CBJ-A,STL-A,,PIT-H,,,NYR-A,
12/14/2005,TBL-H,,,,DAL-H,,,,,,BUF-A,,,,WSH-H,,,,,,,,,,,,ANH-A,,,LAK-A
12/15/2005,,TBL-H,NJD-A,MIN-A,,CBJ-H,CAR-A,,NSH-A,,OTT-A,FLA-A,MON-H,DET-H,,BOS-H,EDM-A,ATL-H,CHI-H,,,DAL-H,VAN-H,,,,ARI-A,,PHI-A,
12/16/2005,LAK-H,,,,PIT-A,,,,STL-H,,,,,,ANH-A,,,,,,,,,BUF-H,WSH-H,CHI-A,,,,SJS-A
12/17/2005,,LAK-A,FLA-H,CGY-A,PIT-H,NJD-H,NSH-A,BOS-H,,NYI-A,,TBL-A,VAN-A,ATL-A,ARI-H,MON-H,MIN-A,CAR-A,CBJ-H,COL-H,,TOR-H,STL-A,BUF-A,,PHI-H,DET-H,OTT-A,EDM-H,
12/18/2005,SJS-H,,,,,,,,DAL-H,NYR-A,CHI-A,,,WSH-A,,,,,,,COL-H,,,,ANH-A,,,,,FLA-H
12/19/2005,,,,,PHI-A,,,EDM-A,,,MIN-A,,CGY-H,,VAN-A,DAL-H,,,,TOR-A,,,BUF-H,,,,,NYI-H,LAK-H,
12/20/2005,SJS-A,STL-H,,,,TBL-H,DET-A,,,NSH-A,,CBJ-H,,,,,OTT-H,NYR-A,COL-H,,NJD-H,MON-A,,,ANH-H,ARI-A,CAR-A,,,
12/21/2005,STL-H,,,,,,DAL-H,LAK-H,NSH-H,,CBJ-A,,VAN-A,,CGY-A,,,NYI-A,CHI-A,NJD-H,,,,,,ANH-A,,,EDM-H,
12/22/2005,,SJS-H,WSH-H,TOR-H,FLA-A,,,,,MIN-H,,,,BUF-H,,COL-A,,,,,TBL-H,PHI-A,OTT-H,,ARI-A,,NYR-A,BOS-A,,ATL-A
12/23/2005,,DAL-A,NJD-A,TOR-A,TBL-A,FLA-H,NSH-H,VAN-A,DET-H,MIN-A,ARI-H,CHI-A,LAK-H,CAR-A,EDM-A,COL-H,WSH-A,ATL-H,CBJ-A,OTT-H,,NYI-A,PIT-A,PHI-H,STL-H,SJS-A,BUF-H,BOS-H,CGY-H,MON-H
12/24/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/25/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/26/2005,,COL-A,MON-H,,NYI-H,TBL-A,CHI-H,VAN-A,CBJ-A,ARI-H,STL-A,,MIN-H,PHI-H,SJS-H,EDM-A,ATL-A,TOR-A,,BUF-A,OTT-A,NYR-H,FLA-A,,LAK-A,DAL-H,CAR-H,NJD-H,CGY-H,
12/27/2005,,,,WSH-A,,,,NSH-H,,,DET-H,DAL-A,,,,,,,CGY-A,,,,,TOR-H,,,,PIT-A,,BOS-H
12/28/2005,CBJ-A,SJS-A,PHI-H,FLA-A,,OTT-A,ANH-H,,STL-H,LAK-H,,,MIN-H,BOS-H,COL-A,EDM-A,TBL-A,WSH-H,VAN-A,NYR-H,NYI-A,CAR-H,ATL-A,,ARI-H,CHI-A,MON-H,,NSH-H,NJD-A
12/29/2005,,LAK-H,,,TOR-A,PHI-H,,MIN-H,,,STL-H,,,,ARI-A,CGY-A,,PIT-A,,,,,CAR-A,NJD-H,,DAL-A,,BUF-H,,
12/30/2005,,,BUF-A,TBL-A,ATL-H,,CHI-A,,CBJ-H,SJS-A,,,NSH-H,MON-H,,,FLA-A,,EDM-A,OTT-A,,NYI-H,,,COL-H,,BOS-H,,,
12/31/2005,STL-A,COL-H,,,,MON-H,DET-A,EDM-H,,ARI-A,LAK-H,CBJ-H,CGY-A,,DAL-A,VAN-H,CAR-A,TOR-H,,,PIT-A,,WSH-A,NYR-H,,ANH-H,,NJD-A,MIN-A,PHI-H
1/1/2006,NSH-A,,WSH-A,,FLA-H,,,,,,,,,BUF-A,,,,,ANH-H,,,,,,,,,,,ATL-H
1/2/2006,,,OTT-H,PHI-H,,,,CHI-H,CGY-A,,LAK-A,,,,DAL-H,,,,,TBL-H,,ATL-A,BOS-A,TOR-A,,VAN-H,NYI-A,PIT-H,STL-A,
1/3/2006,,,,,,,,,EDM-A,NSH-H,,MIN-H,CHI-H,NJD-A,,DET-A,PIT-H,FLA-H,COL-A,,TBL-H,,,MON-A,,,NYR-A,,,
1/4/2006,,,CAR-A,,,ATL-H,,,,,VAN-H,,,NYI-A,,,,,STL-A,FLA-H,,WSH-A,,,,NSH-H,,,DAL-A,OTT-H
1/5/2006,,LAK-A,,OTT-H,TBL-H,,SJS-A,,VAN-H,MIN-A,,STL-H,,,ARI-H,COL-H,NJD-A,MON-H,,,PHI-H,BOS-A,NYR-A,,CBJ-H,DET-A,BUF-A,,CHI-A,
1/6/2006,DAL-A,,PIT-H,,,NYI-H,,TOR-H,,,ANH-H,NSH-A,,,,,,,DET-H,CAR-A,,,WSH-A,ATL-A,,,,CGY-A,,PHI-H
1/7/2006,MIN-A,,PIT-A,TBL-H,NJD-H,NYI-A,COL-A,VAN-A,,CBJ-H,,,TOR-H,NYR-A,SJS-A,ANH-H,OTT-H,BUF-A,,CAR-H,FLA-H,MON-A,,ATL-H,LAK-H,,BOS-A,EDM-A,CGY-H,
1/8/2006,,CBJ-H,,,,,ARI-A,,NSH-H,,DET-A,DAL-H,,WSH-A,,,,,CHI-A,,,,,,,,,,,FLA-H
1/9/2006,LAK-H,,,,,,,,,STL-H,MIN-A,,,,ANH-A,DAL-H,,PHI-H,,,,,NJD-A,,,COL-A,,,,
1/10/2006,,OTT-A,,SJS-H,,DET-H,,NYR-A,WSH-A,,,CAR-A,PIT-A,,,,,,NYI-H,NSH-A,CGY-H,ARI-H,,EDM-H,BOS-A,,,VAN-A,TOR-H,CHI-H
1/11/2006,,,NSH-H,,,,PIT-H,,PHI-H,MON-H,,,,,,,COL-A,,ATL-A,,,,CHI-A,CBJ-A,,,,,,
1/12/2006,,BUF-A,,LAK-H,ARI-H,,,NYI-A,,,WSH-H,PHI-H,NYR-A,STL-H,BOS-A,,,,,CGY-H,EDM-H,SJS-H,DET-A,,OTT-A,FLA-A,,,,DAL-A
1/13/2006,WSH-H,,STL-H,,,NSH-H,TBL-A,,PIT-H,,,,,,,,,VAN-H,CAR-A,,,,,CHI-A,,ATL-A,CBJ-H,,NJD-A,ANH-A
1/14/2006,,TOR-A,,DAL-H,LAK-H,,FLA-A,MIN-A,,PHI-A,BOS-A,NYR-H,OTT-H,CBJ-H,BUF-A,CGY-H,SJS-H,,,VAN-H,DET-A,EDM-A,COL-H,,MON-A,,,ARI-H,NYI-A,
1/15/2006,,,,,,STL-H,,,NJD-H,,,,,,,,,CHI-A,PIT-H,,,,,NSH-A,,CAR-A,,,,
1/16/2006,BOS-A,WSH-H,,ANH-H,EDM-A,,NYR-H,,,,MON-A,,BUF-H,,,OTT-H,DAL-H,,,,CBJ-A,MIN-A,,VAN-H,TBL-H,,SJS-A,,PIT-A,ARI-A
1/17/2006,,,,,,PHI-A,,,NYI-H,TOR-H,,,,,TBL-H,,,STL-A,,CHI-A,,,CAR-H,,,NJD-H,LAK-A,COL-A,,
1/18/2006,,,DAL-A,,,,DET-H,,,,ATL-H,CBJ-A,,,,TOR-H,,,,,,,,,,,,MIN-A,,
1/19/2006,OTT-A,FLA-H,LAK-A,PHI-A,VAN-A,NYI-H,,MON-H,COL-H,CHI-A,,,SJS-A,ARI-A,ATL-H,,CGY-A,NSH-A,NJD-H,CAR-A,PIT-A,ANH-H,BOS-H,NYR-H,EDM-H,WSH-A,,,BUF-H,STL-H
1/20/2006,,,,,,,STL-H,,MIN-A,,TBL-H,,,,,CHI-H,,,,,,,,,,CBJ-A,DAL-A,,,
1/21/2006,FLA-H,EDM-H,TBL-H,NYR-H,CGY-A,WSH-A,NSH-A,BUF-H,,DET-H,,COL-A,ARI-A,ANH-A,SJS-H,,VAN-A,NYI-H,CBJ-H,NJD-A,BOS-A,TOR-H,PIT-A,PHI-H,LAK-A,,ATL-A,OTT-A,MON-H,CAR-H
1/22/2006,,,,,,,,,MIN-H,,,,,,,CHI-A,,NYR-A,,,NJD-H,,,,,,,,,
1/23/2006,LAK-A,DAL-A,,WSH-A,,MON-H,,EDM-A,,,ARI-H,NSH-H,CGY-H,,ANH-H,,CAR-A,,DET-A,,,TOR-H,PIT-H,PHI-A,,VAN-H,,OTT-A,STL-A,BOS-H
1/24/2006,,MIN-A,BOS-H,ATL-A,NYR-A,,VAN-H,COL-A,,CGY-H,,NSH-H,,TBL-A,SJS-A,ARI-H,,NYI-A,DET-A,NJD-H,BUF-H,,,,LAK-H,,FLA-H,,CBJ-A,
1/25/2006,EDM-H,,,,,FLA-A,,,,,STL-H,,ANH-A,CAR-H,,,PHI-A,,,,,,MON-H,WSH-H,,DAL-A,,,,PIT-A
1/26/2006,SJS-A,STL-A,CAR-H,WSH-H,TOR-A,ATL-A,,CHI-A,CGY-H,DAL-H,COL-A,VAN-H,LAK-A,,EDM-H,NSH-H,OTT-A,TBL-A,MIN-A,PIT-H,,MON-H,,NYI-A,ANH-H,ARI-H,NJD-H,BUF-H,DET-A,BOS-A
1/27/2006,,,,,,,MIN-H,,,,,,,NJD-H,,CBJ-A,,FLA-A,,,,,,,,,,,,
1/28/2006,LAK-A,SJS-H,CAR-A,NYI-H,,ATL-H,NSH-H,,,VAN-H,DET-H,DAL-A,,,ANH-H,,TOR-A,,CBJ-A,BOS-A,PIT-H,,TBL-H,NYR-A,ARI-A,,PHI-A,MON-H,COL-A,
1/29/2006,,EDM-H,,,,,,CHI-A,CGY-H,,,,ARI-A,,,,,,,,,,,,,,WSH-A,,,TBL-H
1/30/2006,LAK-H,,,OTT-A,,,,STL-A,,,SJS-H,MIN-A,,TOR-H,ANH-A,DET-H,,,,,PHI-H,BOS-H,NYR-A,,DAL-A,CGY-H,,FLA-A,,
1/31/2006,,VAN-H,BUF-H,,ATL-A,MON-A,,,,MIN-H,,,,,,COL-A,CAR-H,,,WSH-H,,,,,,,TOR-H,TBL-A,ARI-A,NYI-A
2/1/2006,SJS-H,,,,,,CGY-A,CBJ-H,,,NSH-H,STL-H,,,,,,OTT-H,DAL-A,,PIT-H,NJD-A,,NYR-A,ANH-A,DET-A,,,,
2/2/2006,,LAK-H,,MON-H,PHI-H,,EDM-A,,STL-A,NSH-A,,,CBJ-H,,ARI-A,SJS-A,BOS-A,,COL-H,NYR-H,NYI-A,PIT-A,BUF-A,OTT-H,MIN-H,CHI-H,,,,
2/3/2006,,,FLA-A,,,NJD-A,,VAN-H,,,,,,ATL-H,,,,CAR-H,,,,,,,,,,WSH-A,CGY-A,TOR-H
2/4/2006,SJS-A,MIN-H,FLA-H,MON-A,OTT-H,,,,NSH-A,DET-H,STL-A,COL-A,VAN-H,ATL-A,,ARI-A,BOS-H,TOR-A,CHI-H,PIT-A,PHI-A,BUF-A,NYR-H,NYI-H,ANH-H,DAL-H,WSH-H,NJD-H,EDM-A,TBL-A
2/5/2006,,,,CAR-H,,BOS-A,,,,,,,,,,,PHI-H,,,,,,MON-A,,,,,,,
2/6/2006,EDM-A,,,,,,VAN-A,SJS-A,,,NSH-H,,ANH-H,,,,,,DAL-A,TBL-H,,PIT-H,,OTT-A,CGY-H,,NYI-A,,CBJ-H,
2/7/2006,,CHI-H,TOR-A,,MON-A,,,,ARI-A,EDM-H,,,COL-A,WSH-A,MIN-A,LAK-H,BUF-H,TBL-H,,,,,,,,,NJD-A,ATL-H,,FLA-H
2/8/2006,CGY-A,,,PIT-A,,,LAK-H,ANH-H,SJS-A,,,NSH-H,,,CBJ-A,,,,DET-A,PHI-A,OTT-H,NYR-A,NYI-H,BOS-H,CHI-H,VAN-A,,,STL-H,
2/9/2006,,DAL-H,OTT-A,NJD-H,MON-H,TBL-A,,,,MIN-A,ARI-A,NSH-A,,,,COL-H,BUF-A,BOS-A,DET-H,,,ATL-H,,,,,CAR-H,,,
2/10/2006,VAN-A,,,,,PIT-H,COL-H,STL-H,,CBJ-A,SJS-A,,MIN-H,,,EDM-A,,,,,TOR-H,,WSH-H,CAR-A,DAL-H,CGY-A,,NYR-A,ANH-H,PHI-A
2/11/2006,,,MON-A,TBL-H,FLA-H,,NSH-A,,LAK-A,,,,,BUF-A,CHI-H,,ATL-H,NYI-H,CBJ-H,NJD-A,TOR-A,PHI-H,OTT-A,WSH-A,,,BOS-A,NYR-H,,PIT-H
2/12/2006,CHI-H,SJS-H,,,CAR-A,BUF-H,,,ANH-A,DET-A,LAK-A,COL-H,STL-H,,DAL-H,VAN-A,,,,,,,,,ARI-A,EDM-A,,,MIN-H,
2/13/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/14/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/18/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/19/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/21/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/22/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
