DATE\TEAM,ANH,ARI,ATL,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WSH
10/14/2009,MIN-H,,,,,PIT-H,,,EDM-H,,NSH-H,,CHI-A,,NYR-A,ANH-A,,,DAL-A,,LAK-H,,,CAR-A,,,,,,
10/15/2009,,STL-H,,,,,,,NSH-A,MON-A,,LAK-H,,,DET-A,,COL-H,,CHI-H,,,TBL-H,,,WSH-A,ARI-A,OTT-A,,,SJS-H
10/16/2009,,,NJD-A,DAL-A,NYI-H,,,VAN-H,,,BOS-H,,MIN-H,PHI-H,,EDM-A,,ATL-H,,BUF-A,,,FLA-A,,,,,,CGY-A,
10/17/2009,STL-H,BOS-H,BUF-A,ARI-A,ATL-H,NJD-A,LAK-H,,DAL-H,DET-A,CHI-A,COL-H,,,CBJ-A,VAN-A,OTT-H,CAR-H,WSH-A,SJS-H,TOR-A,MON-A,,TBL-H,NYI-A,ANH-A,PIT-A,NYR-H,MIN-H,NSH-H
10/18/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2009,,,,,,,,,,,LAK-H,,VAN-H,,DAL-A,,,,,,SJS-H,,,,NYR-A,,,,EDM-A,
10/20/2009,,,MON-A,,,,CGY-A,CBJ-H,,,,,,,,,ATL-H,,,,,,,STL-H,,PIT-A,,,,
10/21/2009,DAL-H,,,NSH-H,FLA-A,NYI-A,,,VAN-H,MIN-A,ANH-A,,,BUF-H,,COL-H,,,BOS-A,CAR-H,,,,,,,,,CHI-A,
10/22/2009,,DET-H,WSH-H,PHI-A,,,EDM-A,,,,LAK-A,ARI-A,CBJ-H,,DAL-H,,NYI-H,NYR-A,OTT-A,MON-A,NJD-H,NSH-H,BOS-H,,TBL-A,,SJS-H,,,ATL-A
10/23/2009,,,,,,COL-A,,,,CAR-H,,,,PIT-A,,STL-A,,,,,,,,FLA-H,,MIN-H,,,,
10/24/2009,CBJ-H,LAK-H,SJS-H,OTT-A,TBL-A,MIN-A,ANH-A,EDM-H,NSH-H,DET-H,STL-A,COL-A,CGY-A,PHI-A,ARI-A,CAR-H,NYR-H,PIT-A,CHI-A,WSH-H,MON-A,BOS-H,FLA-H,NJD-H,ATL-A,DAL-H,BUF-H,VAN-A,TOR-H,NYI-A
10/25/2009,,,,,,,LAK-A,,,,,,VAN-A,,CBJ-H,,,,,,,,SJS-H,,PHI-A,,,,EDM-H,
10/26/2009,TOR-H,NYR-A,,,,,,,MIN-H,,,,,,,CHI-A,NYI-H,,,MON-A,ARI-H,,,,,,,ANH-A,,
10/27/2009,,,,,,,,,,EDM-A,,VAN-A,COL-H,,,,,,,,,,WSH-A,,,,,,DET-H,PHI-H
10/28/2009,,CBJ-A,,,NJD-A,STL-H,ARI-H,COL-H,,CGY-A,TOR-H,,,OTT-H,SJS-A,NSH-H,PIT-A,BUF-H,MIN-A,NYR-H,NYI-A,FLA-A,,MON-H,LAK-H,CAR-A,,DAL-A,,
10/29/2009,,STL-A,WSH-H,NJD-H,,,,,NSH-A,,,EDM-A,DET-H,,VAN-H,,,BOS-A,CHI-H,,,TBL-A,,,,ARI-H,OTT-H,,LAK-A,ATL-A
10/30/2009,VAN-H,,,,TOR-H,,PIT-H,,MON-H,SJS-A,FLA-H,,,DAL-A,,NYR-H,CHI-A,,,WSH-A,MIN-A,,,CBJ-A,COL-H,,,BUF-A,ANH-A,NYI-H
10/31/2009,ARI-A,ANH-H,OTT-A,EDM-H,NYI-A,PHI-A,,DET-H,,,NSH-A,CGY-A,BOS-A,STL-A,,PIT-A,TOR-H,TBL-A,DAL-H,BUF-H,,ATL-H,CAR-H,MIN-H,,FLA-H,NJD-H,MON-A,,
11/1/2009,,,,NYR-A,,SJS-H,WSH-A,,,VAN-A,,,,,,,,,,,BOS-H,,,,CAR-A,,,,COL-H,CBJ-H
11/2/2009,,LAK-H,,,,,,,,,,,NYI-A,,ARI-A,,,,,EDM-H,,,TBL-H,,,,PHI-A,,,
11/3/2009,PIT-H,,MON-A,DET-A,,,,,,,,BOS-H,,,,,ATL-H,,,,VAN-A,,,ANH-A,,,TOR-A,TBL-H,NYR-H,
11/4/2009,,COL-A,,,NYI-H,FLA-A,SJS-H,DAL-A,,ARI-H,CGY-H,,,CAR-H,,,,WSH-H,,BUF-A,,,,,CBJ-A,,,,,NJD-A
11/5/2009,NSH-H,CHI-H,CBJ-H,MON-H,,,ATL-A,STL-A,ARI-A,,,SJS-H,NYR-H,,PIT-H,VAN-H,BOS-A,,ANH-A,,EDM-A,TBL-H,,LAK-A,DET-A,CGY-H,OTT-A,,MIN-A,
11/6/2009,,,,,PHI-H,TOR-H,,,COL-A,CHI-H,VAN-H,,,WSH-H,,,,NYI-H,,NJD-A,,,BUF-A,,,,,CAR-A,DAL-A,FLA-A
11/7/2009,ARI-H,ANH-A,NYI-A,BUF-H,BOS-A,CBJ-A,CAR-H,NYR-H,,,MIN-A,TOR-A,,WSH-A,NSH-H,DAL-H,TBL-H,OTT-A,LAK-A,ATL-H,CGY-A,NJD-H,STL-H,SJS-A,PIT-H,PHI-A,MON-A,DET-H,,FLA-H
11/8/2009,,,STL-H,,,,,,,EDM-H,,,COL-A,,,,,,,,,,,,,ATL-A,,,,
11/9/2009,,,,,,,,,LAK-H,,,,,,CHI-A,,,,,,,,,,,,,,,
11/10/2009,,,,PIT-H,,,,MON-A,,,,,OTT-A,,,TOR-A,CGY-H,,SJS-A,,,EDM-H,,BOS-A,NSH-H,VAN-H,,MIN-H,STL-A,
11/11/2009,NJD-A,,,,EDM-H,LAK-H,DET-H,,COL-H,CHI-A,,CBJ-A,BUF-A,,CAR-A,,,ANH-H,,WSH-A,,,,,,,,,,NYI-H
11/12/2009,,MON-H,NYR-A,FLA-H,,,,,,,SJS-A,VAN-H,,BOS-A,,TBL-A,ARI-A,PIT-A,STL-A,,ATL-H,PHI-A,OTT-H,NJD-H,DAL-H,NSH-H,MIN-H,,DET-A,
11/13/2009,CBJ-A,,LAK-H,,CGY-H,NYI-H,ANH-H,BUF-A,TOR-H,,,,,,ATL-A,WSH-A,,,,CAR-A,,,,,,,,CHI-A,,MIN-H
11/14/2009,DET-A,DAL-H,,PIT-A,PHI-A,,,TOR-A,,VAN-H,ARI-A,ANH-H,,NYI-H,TBL-A,,NSH-A,WSH-H,MON-H,FLA-A,OTT-A,NYR-H,BUF-H,BOS-H,STL-A,SJS-H,LAK-H,CGY-H,COL-A,NJD-A
11/15/2009,,,EDM-H,,,MIN-H,,,SJS-H,,,,ATL-A,,,CAR-A,,,,,,,,,CHI-A,,,,,
11/16/2009,PIT-A,TBL-H,,NYI-H,,,EDM-H,,,,,,CBJ-A,LAK-H,FLA-A,,,PHI-A,,BOS-A,,,NJD-H,ANH-H,,,ARI-A,,,
11/17/2009,,,,,,MON-A,,COL-H,,CGY-A,,,,,,,CAR-H,,SJS-H,,WSH-H,TOR-H,,,NSH-A,,,OTT-A,,NYR-A
11/18/2009,,MIN-A,,,FLA-H,,,,,EDM-A,DET-A,DAL-H,COL-H,BUF-A,PHI-H,ARI-H,,,,,,,LAK-A,,,,,,,
11/19/2009,TBL-H,STL-A,BOS-H,ATL-A,,TOR-H,DAL-A,CHI-H,CGY-A,,CBJ-H,,,,,,,NSH-A,NJD-H,,,PIT-H,,OTT-A,,ARI-H,ANH-A,CAR-A,,
11/20/2009,,,,BUF-A,BOS-H,,,,,VAN-A,,FLA-H,,DET-A,,NYI-H,WSH-A,,,MIN-A,,,SJS-A,,PHI-H,,,,COL-H,MON-H
11/21/2009,SJS-H,PHI-H,PIT-H,,OTT-A,TBL-H,NSH-A,LAK-A,EDM-A,,NJD-H,MON-A,CHI-H,NYR-A,CGY-H,,DET-H,DAL-A,CBJ-H,STL-A,FLA-H,BUF-H,ARI-A,ATL-A,ANH-A,NYI-H,CAR-A,WSH-H,,TOR-A
11/22/2009,,,TBL-H,,,,,,VAN-A,,,,,,,,,,,,,,,,,,ATL-A,,CHI-H,
11/23/2009,CGY-H,EDM-A,,STL-A,,DAL-A,NYR-A,ANH-A,,PHI-H,CAR-H,NSH-A,ARI-H,PIT-H,,,,,DET-H,TOR-A,CBJ-H,WSH-H,COL-A,FLA-A,,BOS-H,,NYI-H,,OTT-A
11/24/2009,,,,,,,MON-A,,,,,,,,,,CBJ-H,,,,,,,,,,,,,
11/25/2009,CAR-H,CGY-A,DET-A,MIN-A,WSH-A,ANH-A,,ARI-H,SJS-A,NSH-H,STL-H,ATL-H,LAK-H,NYR-H,EDM-A,BOS-H,PIT-A,OTT-H,COL-A,PHI-H,FLA-A,NJD-A,NYI-A,MON-H,CHI-H,DAL-A,TOR-H,TBL-A,,BUF-H
11/26/2009,,,,,,,OTT-A,,,,,,,,VAN-A,,,,,,,CBJ-H,,,,,,,LAK-H,
11/27/2009,CHI-H,DAL-H,CAR-A,NJD-H,PHI-A,ATL-H,,DET-A,ANH-A,MIN-A,ARI-A,CGY-H,SJS-H,TOR-H,,COL-H,,BOS-A,STL-H,PIT-H,TBL-A,,BUF-H,NYI-A,EDM-A,NSH-A,NYR-H,FLA-A,,
11/28/2009,,,PHI-H,OTT-H,CAR-H,BUF-A,CGY-H,CBJ-A,LAK-A,MIN-H,TBL-H,STL-A,VAN-A,NSH-A,CHI-H,COL-A,WSH-H,NYI-H,FLA-H,NJD-A,PIT-A,BOS-A,ATL-A,NYR-H,,DET-H,DAL-A,,EDM-H,MON-A
11/29/2009,ARI-H,ANH-A,,,,,,,,,,,,,,,,,,,,,,,VAN-A,,,,SJS-H,
11/30/2009,,,FLA-H,,TOR-A,WSH-H,STL-H,NSH-A,,TBL-A,DET-A,DAL-H,,ATL-A,,,,,CGY-H,,PIT-H,,,NYR-A,,CBJ-A,COL-H,BUF-H,,CAR-A
12/1/2009,LAK-H,,,,,,CHI-A,,CBJ-H,,,,,,ANH-A,,TOR-H,,,,,SJS-A,,,OTT-H,,,MON-A,,
12/2/2009,,,,TBL-H,,,,,,FLA-A,,,,COL-H,,NSH-H,,VAN-H,MIN-A,,,,,,,,BOS-A,,NJD-A,
12/3/2009,DAL-A,CGY-H,NYI-H,,MON-H,,TOR-H,ARI-A,,PIT-A,ANH-H,EDM-H,DET-A,WSH-A,OTT-H,,BUF-A,,,ATL-A,,LAK-A,VAN-H,COL-H,STL-H,SJS-A,,CBJ-A,PHI-A,FLA-H
12/4/2009,MIN-A,,,MON-A,,,,,NSH-H,,,,,,,ANH-H,BOS-H,TBL-H,CHI-A,,,,,,,,NJD-A,,,
12/5/2009,,OTT-H,FLA-A,TOR-H,NYR-H,VAN-H,COL-H,SJS-A,PIT-A,CBJ-A,EDM-H,NJD-A,DAL-A,ATL-H,STL-H,NSH-A,,DET-H,MIN-H,TBL-A,BUF-A,ARI-A,WSH-H,CHI-H,CGY-H,LAK-A,NYI-H,BOS-A,CAR-A,PHI-A
12/6/2009,OTT-H,,,,,,,,,,,NYR-A,,,,,,,,,DET-H,ANH-A,,,,,,,,
12/7/2009,,MIN-H,TOR-A,,NJD-H,PIT-A,,LAK-A,,STL-A,,,FLA-A,EDM-H,CGY-H,ARI-A,PHI-H,BUF-A,,,,,MON-A,CAR-H,,COL-H,WSH-H,ATL-H,,TBL-A
12/8/2009,DAL-H,,,,,,,,,,ANH-A,,,,,,OTT-A,,VAN-H,PHI-A,,MON-H,NYI-H,,,,,,NSH-A,
12/9/2009,,,CGY-A,,WSH-H,NJD-A,FLA-H,ATL-H,NYR-H,MIN-H,,STL-H,TBL-A,CBJ-A,SJS-A,COL-A,,CAR-H,,TOR-A,CHI-A,,,,LAK-H,DET-A,EDM-H,NYI-H,,BUF-A
12/10/2009,,LAK-A,VAN-A,TOR-H,,,NSH-A,,,,,,,,ARI-H,,PIT-H,,CBJ-H,,,PHI-A,OTT-H,MON-A,,,,BOS-A,ATL-H,
12/11/2009,DET-A,,,,CHI-H,WSH-A,,MIN-H,BUF-A,TBL-H,SJS-A,ANH-H,STL-A,NJD-A,,CGY-A,,FLA-H,,,,,,,DAL-H,EDM-H,COL-A,,,CAR-H
12/12/2009,CBJ-A,SJS-H,MON-H,NYI-A,NYR-A,OTT-A,ANH-H,,,,LAK-A,NSH-A,,PIT-A,DAL-H,VAN-A,ATL-A,PHI-H,DET-H,BOS-H,BUF-H,CAR-H,NJD-A,FLA-H,ARI-A,,,WSH-H,MIN-H,TOR-A
12/13/2009,,,,,,,,COL-A,TBL-H,CGY-H,,,,,,,,,,,,,,,,,CHI-A,,,
12/14/2009,,DET-A,NYR-A,PHI-H,MON-A,,NSH-H,,,,,ARI-H,,NYI-A,VAN-A,,BUF-H,,CBJ-A,FLA-H,ATL-H,TOR-A,BOS-A,,,,,OTT-H,LAK-H,
12/15/2009,,,,,,,MIN-A,STL-A,,WSH-H,,,LAK-H,,EDM-A,CBJ-H,,,TBL-H,,,,PIT-A,PHI-H,,CGY-H,NSH-A,,,COL-A
12/16/2009,VAN-A,TOR-A,FLA-A,,OTT-A,DAL-H,,,STL-H,,CAR-A,,,ATL-H,,,NJD-A,MON-H,,NYR-A,NYI-H,BUF-H,,,,CHI-A,,ARI-H,ANH-H,
12/17/2009,SJS-A,CBJ-A,DAL-H,,,,ARI-H,LAK-H,,,ATL-A,TBL-H,NSH-H,,CGY-A,MON-A,MIN-H,,EDM-A,NYR-H,NYI-A,,PIT-H,PHI-A,ANH-H,,DET-A,,,
12/18/2009,,,,CHI-A,TOR-H,FLA-A,,,BOS-H,,,,,CAR-H,,,,OTT-H,,,,NJD-A,,,,TBL-H,STL-A,BUF-A,WSH-H,VAN-A
12/19/2009,ARI-H,ANH-A,NJD-H,TOR-A,PIT-H,FLA-H,COL-A,NSH-H,,CBJ-H,DET-H,DAL-A,WSH-H,CAR-A,,OTT-A,NYI-A,ATL-A,CGY-A,MON-H,PHI-A,MIN-H,NYR-H,BUF-A,,,,BOS-H,,EDM-A
12/20/2009,,,,,,,,,DET-H,,,CHI-A,,,,,,,,,,,,,,VAN-A,,,STL-H,
12/21/2009,,CBJ-H,MON-H,OTT-A,TOR-A,NYR-H,ARI-A,,,MIN-A,SJS-H,,STL-H,PHI-A,,COL-H,ATL-A,PIT-A,,TBL-H,CAR-A,BOS-H,FLA-H,NJD-H,DAL-A,EDM-A,NYI-A,BUF-H,,
12/22/2009,COL-A,,,,,,,,SJS-H,ANH-H,,,,,,,,,VAN-A,,,,,,CHI-A,,,,NSH-H,
12/23/2009,ARI-A,ANH-H,BOS-A,ATL-H,WSH-A,MON-H,DAL-A,STL-H,DET-A,,CBJ-H,CHI-H,MIN-A,NYR-A,,EDM-H,CAR-A,,,TOR-H,FLA-H,PIT-A,TBL-A,OTT-H,,CGY-A,PHI-H,NYI-A,,BUF-H
12/24/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/25/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/26/2009,SJS-A,LAK-H,TBL-A,,OTT-H,PHI-H,DET-A,,NSH-A,DAL-H,COL-A,CBJ-H,VAN-A,,ARI-A,STL-H,TOR-A,WSH-A,CHI-H,NYR-A,NYI-H,BUF-A,CAR-A,,ANH-H,MIN-A,ATL-H,MON-H,EDM-H,NJD-H
12/27/2009,,,,FLA-A,STL-A,,,VAN-H,NSH-H,,,,,BOS-H,,,,,CHI-A,PHI-H,,,NYI-A,TOR-H,,BUF-H,,PIT-A,CGY-A,
12/28/2009,,SJS-A,NJD-A,TBL-A,,WSH-A,DET-H,EDM-A,,,,CBJ-A,CGY-H,,MIN-H,LAK-A,OTT-A,ATL-H,,,,MON-H,,,ARI-H,,BOS-H,,,CAR-H
12/29/2009,MIN-H,VAN-H,,,PIT-H,,NYI-A,,DAL-A,,CHI-H,,,,,ANH-A,,,STL-A,CBJ-H,,,,BUF-A,,NSH-H,,,ARI-A,
12/30/2009,,,BOS-A,ATL-H,,,,LAK-H,,OTT-A,,,TOR-H,,CGY-A,,TBL-A,PIT-H,,,PHI-H,COL-H,NYR-A,NJD-A,WSH-H,,MON-H,EDM-A,,SJS-A
12/31/2009,DAL-A,SJS-H,,,,NYR-H,NSH-H,EDM-H,NJD-H,DET-A,ANH-H,COL-H,CGY-A,MON-H,MIN-A,LAK-H,FLA-A,CHI-A,CBJ-A,OTT-A,CAR-A,NYI-H,,,ARI-A,VAN-H,,,STL-A,
1/1/2010,,,BUF-A,PHI-H,ATL-H,,,,,,,,,,,,,,,,,,BOS-A,,,,,,,
1/2/2010,NSH-A,DET-H,NYI-A,,,NYR-A,COL-H,TOR-H,STL-A,CBJ-A,VAN-H,ARI-A,SJS-A,,WSH-H,NJD-H,,MIN-A,ANH-H,ATL-H,CAR-H,,,TBL-A,EDM-H,CHI-H,PIT-H,CGY-A,DAL-A,LAK-A
1/3/2010,CHI-A,,,,MON-A,,,,ANH-H,,,,,PIT-H,,,BUF-H,,,,,PHI-H,OTT-A,FLA-A,,,,,,
1/4/2010,,,,NYR-A,,,,,,,,,,,SJS-A,,,,,,BOS-H,,,,LAK-H,,,,,
1/5/2010,DET-H,EDM-A,PIT-A,OTT-A,,,VAN-A,NSH-A,MIN-H,,NJD-A,ANH-A,ARI-H,TOR-A,,CHI-A,WSH-A,DAL-H,CGY-H,,,BOS-H,,ATL-H,,,,FLA-H,CBJ-H,MON-H
1/6/2010,,,,,TBL-H,,,MIN-A,,NYI-H,NYR-A,,,,,CGY-H,,,,COL-A,DAL-H,,TOR-H,,STL-H,SJS-A,BUF-A,PHI-A,,
1/7/2010,STL-H,VAN-A,NYR-H,CHI-H,,NSH-A,EDM-A,,BOS-A,,,LAK-A,CBJ-H,MON-A,DET-H,,FLA-H,,CAR-H,,ATL-A,WSH-A,PIT-A,PHI-H,,ANH-A,,,ARI-H,OTT-H
1/8/2010,,,,,TOR-H,COL-H,CGY-A,CBJ-H,,CAR-A,NYI-H,,,,,,,TBL-H,,DAL-A,,,,,,,NJD-A,BUF-A,,
1/9/2010,NSH-A,NYI-H,WSH-H,NYR-H,COL-H,,,VAN-A,MIN-A,BUF-A,,SJS-A,,OTT-A,STL-H,CHI-H,NJD-H,MON-A,ANH-H,ARI-A,BOS-A,FLA-H,TBL-H,TOR-A,DET-H,LAK-A,PHI-A,PIT-H,CGY-H,ATL-A
1/10/2010,CHI-A,,,,,OTT-H,DAL-H,,ANH-H,,CBJ-A,,,,,,,,,,,CAR-A,,,,,,,,
1/11/2010,,,,,,,,COL-H,,CGY-A,,,,,SJS-H,PIT-H,,,VAN-A,,,,,MIN-A,LAK-A,,,,NSH-H,
1/12/2010,,SJS-H,OTT-H,,,TOR-A,STL-A,,,,PHI-A,NYI-A,NSH-H,,,,,NYR-A,EDM-A,DET-H,NJD-H,ATL-A,DAL-H,,ARI-A,CBJ-H,WSH-H,CAR-H,,TBL-A
1/13/2010,BOS-H,,,ANH-A,,,,PIT-H,,,,,,WSH-H,,VAN-H,,,,,,,,CGY-A,,,,,MIN-A,FLA-A
1/14/2010,LAK-A,NJD-H,BUF-H,SJS-A,ATL-A,DET-A,CHI-A,,CBJ-H,,MON-A,CAR-H,PIT-H,TBL-A,ANH-H,STL-A,DAL-H,ARI-A,,,OTT-H,NYR-A,TOR-A,EDM-A,BOS-H,MIN-H,FLA-H,PHI-H,,
1/15/2010,,,,,,,,NSH-H,,,,,,,,,,,CGY-A,,,,,,,,,WSH-A,,TOR-H
1/16/2010,,MIN-H,CAR-A,LAK-A,NYI-A,ATL-H,CHI-H,,CBJ-A,NJD-H,DET-H,DAL-A,SJS-A,TBL-H,BOS-H,ARI-A,OTT-H,COL-A,,BUF-H,STL-A,MON-A,,VAN-A,EDM-H,NYR-H,FLA-A,,PIT-H,
1/17/2010,CGY-H,,,,,,,ANH-A,DET-A,,,CHI-H,,,,,NYR-A,,,,MON-H,,WSH-A,,,,,,,PHI-H
1/18/2010,,BUF-H,FLA-A,OTT-H,ARI-A,TBL-H,STL-H,SJS-A,,EDM-H,MIN-H,,COL-A,ATL-H,,DAL-A,,NYI-A,TOR-H,NJD-H,,BOS-A,,,CGY-H,CBJ-A,CAR-A,NSH-A,,
1/19/2010,BUF-H,,TOR-H,,ANH-A,,PHI-A,,OTT-A,,,WSH-A,,,SJS-H,,,,,PIT-A,TBL-H,CHI-H,CBJ-H,NYI-H,LAK-A,,NYR-A,ATL-A,,DET-H
1/20/2010,,,,,,,,,,,,,VAN-H,NJD-A,,,STL-H,FLA-H,,,,,,,,MON-A,,,EDM-A,
1/21/2010,SJS-A,NSH-H,CAR-H,CBJ-H,LAK-A,ATL-A,BOS-A,CHI-H,CGY-A,,VAN-A,MIN-A,,NYI-A,BUF-H,DET-H,,,ARI-A,FLA-H,PHI-A,STL-H,NYR-H,WSH-H,ANH-H,OTT-A,TOR-H,TBL-A,DAL-H,PIT-A
1/22/2010,,,,,,,,,,NSH-H,EDM-A,,DAL-H,,,,NJD-A,MON-H,COL-A,,,,,,,,,,,
1/23/2010,STL-A,WSH-A,TBL-A,OTT-H,SJS-A,PHI-A,MIN-A,,VAN-A,,,LAK-H,,TOR-H,DET-A,CBJ-H,NYR-H,NYI-A,,NJD-H,MON-A,BOS-A,CAR-H,,BUF-H,ANH-H,ATL-H,FLA-A,CHI-H,ARI-H
1/24/2010,,,,CAR-A,,BOS-H,,,,DAL-H,COL-A,,,,,,,,,,,,PIT-H,PHI-A,,,,,,
1/25/2010,,,,,VAN-A,,,STL-H,,,,,,,,,,,,,PIT-H,,,NYR-A,,CGY-A,,,BUF-H,
1/26/2010,ATL-A,DET-A,ANH-H,,,,NSH-H,,EDM-A,,,ARI-H,CHI-H,MON-H,TOR-A,,FLA-A,OTT-A,CBJ-A,WSH-H,,NJD-H,,,,,,LAK-H,,NYI-A
1/27/2010,WSH-A,,,,NJD-H,NYR-A,,DAL-A,,,CGY-H,MIN-A,,,,DET-H,TBL-A,BUF-A,,,CAR-H,,,,,VAN-A,MON-H,,STL-H,ANH-H
1/28/2010,,CGY-H,PHI-A,,,NYI-H,LAK-H,ARI-A,SJS-A,MIN-H,,,STL-H,,CBJ-A,COL-A,,,,CAR-A,,PIT-A,ATL-H,OTT-H,CHI-H,EDM-A,,,,
1/29/2010,TBL-A,,,BUF-A,BOS-H,,,,,DAL-A,COL-H,NSH-H,,WSH-A,,,,TOR-H,DET-A,,,,,,,,ANH-H,NJD-A,,FLA-H
1/30/2010,,NYR-H,NSH-A,LAK-H,,CHI-H,STL-A,EDM-H,CAR-A,,,,CGY-A,,BOS-A,SJS-A,OTT-A,,ATL-H,PHI-A,ARI-A,MON-H,NYI-H,,MIN-H,CBJ-H,,VAN-H,TOR-A,
1/31/2010,,DAL-A,,,,,,,,NYR-H,ARI-H,PIT-A,,NYI-H,NJD-A,,,LAK-H,,FLA-A,COL-A,,,DET-H,,,WSH-A,,,TBL-H
2/1/2010,FLA-A,,,,PIT-A,EDM-A,,PHI-H,,,,,CAR-H,ANH-H,,,,,,,,,CGY-A,BUF-H,,,,,,
2/2/2010,,NSH-A,TBL-H,WSH-H,,,COL-A,,,CBJ-H,MIN-H,SJS-A,,,NYR-H,DAL-A,VAN-H,TOR-A,ARI-H,,LAK-A,,,,DET-H,,ATL-A,NJD-H,MON-A,BOS-A
2/3/2010,DET-H,,,,OTT-H,CGY-A,,CAR-H,STL-H,,,ANH-A,PHI-H,,,,,,,,,BUF-A,EDM-A,,,CHI-A,,,,
2/4/2010,LAK-A,,,MON-H,,,DAL-H,,,NSH-A,CBJ-A,,MIN-A,,ANH-H,EDM-H,BOS-A,,COL-H,TBL-A,WSH-H,VAN-H,,,STL-A,SJS-H,NYI-H,,OTT-A,NYR-A
2/5/2010,,CHI-A,WSH-A,,CAR-H,BUF-A,,FLA-A,ARI-H,,,,,CGY-H,,,,TOR-H,,,,,,,,,,NJD-A,,ATL-H
2/6/2010,,DAL-A,FLA-H,VAN-H,CBJ-A,NYI-A,BUF-H,TBL-A,STL-A,EDM-H,ARI-H,LAK-A,COL-A,ATL-A,DET-H,PHI-H,PIT-H,NYR-A,SJS-H,CAR-H,NJD-H,TOR-A,MIN-A,MON-A,NSH-A,CHI-H,CGY-H,OTT-H,BOS-A,
2/7/2010,,,,MON-A,,,,,,,,,,,,,BOS-H,,,,,,,WSH-A,,,,,,PIT-H
2/8/2010,LAK-H,EDM-H,,,,,,,,STL-H,,,ARI-A,,ANH-A,,,PHI-A,,,,,NJD-H,,TOR-A,COL-A,,SJS-H,,
2/9/2010,,,,BUF-A,BOS-H,FLA-H,,OTT-A,DAL-H,,CHI-A,STL-A,,CAR-A,,,,,NYI-A,NSH-H,,CGY-H,,,,DET-H,VAN-H,,TBL-A,
2/10/2010,EDM-H,MIN-A,COL-A,,,,SJS-H,,,ATL-H,,,ANH-A,,,ARI-H,WSH-H,PHI-H,NYR-A,PIT-A,NSH-H,,NJD-A,NYI-H,CBJ-A,,,,,MON-A
