DATE\TEAM,ANH,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WPG,WSH
10/19/2015,,,,,,,,,,,,,,,,,,,,SJS-H,,,,NYR-A,,,,,,
10/20/2015,,NJD-A,,,,NYI-H,WSH-H,,,PHI-A,,,PIT-A,,,STL-H,ARI-H,TBL-H,CBJ-A,,,DAL-H,FLA-H,,MON-A,NSH-A,,,,CGY-A
10/21/2015,,,PHI-H,TOR-H,COL-A,,,,CAR-H,,EDM-A,DET-H,,,,,,,,,,BOS-A,,,,,BUF-A,,,
10/22/2015,NSH-A,NYR-A,,,,MIN-A,,FLA-H,,PIT-A,,,CHI-A,SJS-A,CBJ-H,,OTT-A,ANH-H,,ARI-H,NJD-H,,DAL-H,LAK-H,,,,WSH-H,,VAN-A
10/23/2015,,,NYI-A,MON-H,LAK-A,,DET-H,,,,CGY-A,WSH-H,,CAR-H,,BUF-A,,,BOS-H,,,,,,,WPG-A,,,TBL-H,EDM-A
10/24/2015,MIN-A,OTT-A,,NJD-H,SJS-A,COL-A,,TBL-H,CBJ-H,FLA-H,VAN-A,,DAL-A,,ANH-H,TOR-H,BUF-A,PIT-H,STL-A,PHI-A,ARI-H,NYR-H,NSH-A,CAR-H,NYI-H,CHI-A,MON-A,DET-H,,
10/25/2015,,,,,,,NYR-A,,,,,LAK-H,,EDM-A,WPG-A,,,,,CGY-H,,,,,,,,,MIN-H,
10/26/2015,CHI-A,TOR-A,,,,,NYI-A,ANH-H,,,,,,,,,,,CGY-H,,,,,,,,ARI-H,,,
10/27/2015,DAL-A,BOS-A,ARI-H,PHI-A,DET-A,NJD-A,,,FLA-A,ANH-H,CAR-H,MIN-A,COL-H,WPG-A,EDM-H,VAN-A,CBJ-H,,,,,BUF-H,,,TBL-H,STL-A,,MON-H,LAK-H,
10/28/2015,,,,,,,OTT-A,,,,,,,,,,,SJS-A,,,CGY-H,,WSH-A,NSH-H,,,,,,PIT-H
10/29/2015,STL-A,,,PIT-A,NYI-A,,,WPG-A,TBL-A,VAN-H,,MON-H,,,,EDM-A,PHI-A,,CAR-H,,,NJD-H,BUF-H,,ANH-H,COL-H,,DAL-A,CHI-H,
10/30/2015,,VAN-H,FLA-A,PHI-H,COL-H,WSH-A,MON-H,MIN-A,CAR-A,,OTT-H,,BOS-H,,CHI-H,CGY-A,,,,TOR-H,DET-A,BUF-A,,,,,NYR-A,ARI-A,,CBJ-H
10/31/2015,,,TBL-A,,,WPG-H,EDM-A,,,SJS-H,OTT-A,CGY-H,WSH-H,NSH-H,STL-A,,NYI-H,LAK-A,NJD-A,,DET-H,,TOR-A,DAL-A,MIN-H,BOS-H,PIT-H,,CBJ-A,FLA-A
11/1/2015,NSH-H,,,NYI-A,TBL-H,,,,SJS-H,,,,,,,WPG-H,,ANH-A,BUF-H,,,,,COL-A,,CAR-A,,,MON-A,
11/2/2015,,,,,,,,LAK-H,,TOR-A,,,,CHI-A,,,,,,,,VAN-A,,,,,DAL-H,PHI-H,,
11/3/2015,,,DAL-H,,,SJS-A,COL-A,,CGY-H,BOS-A,TBL-H,PHI-H,,STL-A,,OTT-H,NYI-A,,NJD-H,WSH-H,MON-A,EDM-A,,CBJ-H,LAK-H,DET-A,,,,NYR-A
11/4/2015,FLA-H,,,,,,,STL-H,,,,,ANH-A,,,,,,,,,,VAN-A,,CHI-A,,WPG-H,PIT-H,TOR-A,
11/5/2015,,COL-H,WSH-A,TBL-H,,LAK-A,PHI-H,,ARI-A,,,,SJS-A,CBJ-H,NSH-H,NYI-H,,MIN-A,MON-A,,WPG-H,CGY-A,,FLA-H,,BUF-A,,,OTT-A,BOS-H
11/6/2015,CBJ-H,,,,DAL-H,ANH-A,,NJD-A,NYR-H,CAR-A,TOR-A,PIT-H,,,,,CHI-H,,,COL-A,,,EDM-A,,,,DET-H,,,
11/7/2015,SJS-A,NYR-H,MON-A,VAN-H,OTT-H,,PIT-H,,,,,,LAK-A,FLA-H,TBL-H,BOS-H,,STL-H,,ARI-A,CAR-A,WPG-A,CGY-A,ANH-H,NSH-A,MIN-A,WSH-A,BUF-A,PHI-H,TOR-H
11/8/2015,,,NYI-A,,,,,EDM-H,,DET-A,DAL-H,CHI-A,,,,,VAN-H,,BOS-H,,,,,,,,,NJD-A,,
11/9/2015,ARI-H,ANH-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2015,,LAK-A,,TBL-A,NYR-A,VAN-H,FLA-A,,PHI-A,TOR-H,WSH-H,,CGY-H,ARI-H,WPG-H,,STL-H,OTT-H,SJS-A,CAR-H,NSH-A,COL-H,,NYI-H,NJD-A,BUF-H,DAL-A,CBJ-A,MIN-A,DET-A
11/11/2015,EDM-H,,,,,,,,,,,ANH-A,,,,PIT-A,,,,,,,MON-H,,,,,,,
11/12/2015,,EDM-H,COL-H,FLA-A,MIN-H,,TBL-A,NJD-H,BOS-A,WPG-H,,ARI-A,BUF-H,NYI-H,CAR-A,,CHI-A,TOR-H,LAK-A,STL-H,VAN-H,WSH-H,,,NYR-A,CGY-H,NSH-A,OTT-A,DAL-A,PHI-A
11/13/2015,NYI-H,,,,,PIT-A,WSH-A,,,,SJS-H,,,,,,,,ANH-A,,,,CBJ-H,DET-A,,,,,,CGY-H
11/14/2015,,CBJ-A,DET-H,SJS-H,PHI-H,ARI-H,,STL-A,MON-A,MIN-H,BOS-A,LAK-A,TBL-A,EDM-H,DAL-A,COL-H,PIT-H,WPG-H,,OTT-A,NYR-H,CAR-A,NJD-A,BUF-A,CHI-H,FLA-H,VAN-H,TOR-A,NSH-A,
11/15/2015,,,,,,,CHI-A,CGY-H,,,,,,,,,,,,TOR-H,,,,,,,NYR-A,,,
11/16/2015,CAR-A,NYI-A,,,ANH-H,,,,,,OTT-A,,TBL-H,,,VAN-H,,,ARI-H,,DET-H,,,,WPG-H,FLA-A,,MON-A,STL-A,
11/17/2015,NSH-A,,SJS-H,DAL-H,,STL-H,NJD-H,,TOR-A,BUF-A,,,,PHI-A,PIT-A,,CGY-A,ANH-H,,,,LAK-H,MIN-H,BOS-A,CBJ-A,,COL-H,,,
11/18/2015,,,,,,,,EDM-A,,,WSH-H,CHI-H,,,,,,,,,,,,,,,,WPG-A,VAN-H,DET-A
11/19/2015,FLA-A,MON-A,MIN-H,STL-A,,OTT-A,,,PIT-A,WSH-A,,,ANH-H,,BOS-A,ARI-H,,,,TBL-A,CBJ-H,SJS-H,COL-H,PHI-A,BUF-H,NYR-H,,,,DAL-H
11/20/2015,,,,,TOR-H,NSH-H,CHI-H,CGY-A,,,LAK-H,NJD-H,,DET-A,,NYI-A,EDM-A,CBJ-A,MON-H,,,,,,,,CAR-A,,,
11/21/2015,TBL-A,WPG-A,TOR-H,DAL-A,,,,VAN-A,WSH-A,BUF-H,STL-A,,NYR-H,,NSH-H,,,MIN-A,,FLA-A,PHI-H,OTT-A,SJS-H,PIT-A,DET-H,ANH-H,BOS-A,CHI-H,ARI-H,COL-H
11/22/2015,,,,,LAK-H,SJS-H,,,,,,,,CAR-A,,NYI-H,VAN-A,,MON-A,,,,,CBJ-A,,,,NJD-H,,
11/23/2015,,,TOR-A,STL-H,PHI-A,,,,WPG-A,,,WSH-A,LAK-H,FLA-A,,,,NYR-A,,NSH-H,,CAR-H,,,BUF-A,,BOS-H,,COL-H,EDM-H
11/24/2015,CGY-H,,,,,,ANH-A,,,OTT-H,,,,,,,,,,,DAL-A,,,,,,,,,
11/25/2015,ARI-A,ANH-H,DET-A,NSH-H,EDM-H,NJD-A,,SJS-A,OTT-H,,BOS-H,CAR-A,,TBL-A,VAN-H,NYR-A,CBJ-H,BUF-A,PHI-H,MON-H,COL-A,NYI-A,STL-H,CHI-H,PIT-A,LAK-H,,MIN-A,WSH-A,WPG-H
11/26/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2015,CHI-H,CGY-H,NYR-H,CAR-H,BUF-A,PIT-H,ARI-A,ANH-A,,VAN-H,EDM-H,DET-A,NYI-H,,WPG-H,NJD-A,MON-H,PHI-A,FLA-A,BOS-A,,NSH-H,CBJ-A,,,WSH-A,,DAL-A,MIN-A,TBL-H
11/28/2015,,OTT-H,,NSH-A,,STL-A,SJS-A,LAK-A,WPG-H,MIN-A,,PIT-A,,CHI-H,DAL-H,NJD-H,MON-A,BUF-H,TBL-A,PHI-H,ARI-A,NYR-A,EDM-H,CGY-H,CBJ-H,NYI-H,WSH-H,,COL-A,TOR-A
11/29/2015,,,,,,,,,,,FLA-H,,DET-A,,,,,,,,,,,,,,,,,
11/30/2015,VAN-H,,,,NYR-A,,,,NYI-A,,,TOR-A,,,,,,,COL-H,CAR-H,,,,,,,EDM-H,ANH-A,,
12/1/2015,,NSH-A,,DET-A,,MON-A,DAL-H,MIN-H,NJD-A,CGY-A,BUF-H,,STL-A,VAN-H,CHI-A,CBJ-H,COL-H,ARI-H,,,PHI-H,OTT-A,SJS-A,PIT-H,FLA-H,,,LAK-A,,
12/2/2015,TBL-H,,EDM-A,,,,,,,,,BOS-H,,,,,,,NYR-H,NYI-A,,,,,,ANH-A,WPG-A,,TOR-H,
12/3/2015,,DET-A,,,NJD-H,,,OTT-A,NYR-A,VAN-A,ARI-H,,NSH-A,,TOR-H,WSH-H,CAR-A,FLA-H,,COL-H,CHI-H,,,,,,MIN-A,DAL-H,,MON-A
12/4/2015,SJS-H,BUF-A,CGY-A,ARI-H,,FLA-H,BOS-H,,,EDM-A,,DAL-H,CBJ-A,,,,PHI-H,,STL-H,,,NJD-A,,ANH-A,NYI-A,,,,,
12/5/2015,,,VAN-A,,MON-H,PHI-A,,,MIN-A,,NSH-H,,,PIT-H,COL-H,CAR-A,,DET-A,OTT-A,,NYI-H,CBJ-H,LAK-A,TBL-H,TOR-H,SJS-A,STL-A,BOS-H,WSH-H,WPG-A
12/6/2015,PIT-H,CAR-A,,EDM-A,ARI-H,,,WPG-H,,,,BUF-H,NJD-A,TBL-H,,,FLA-H,,,OTT-H,NYR-A,,ANH-A,,,LAK-A,,,CHI-A,
12/7/2015,,,NSH-H,VAN-A,,,,,MIN-H,,,,,,COL-A,,,BOS-A,,,,,,,,,,BUF-H,,
12/8/2015,,STL-A,,,DAL-A,LAK-H,SJS-H,NSH-H,,CAR-H,WSH-A,,OTT-H,CBJ-A,,,TOR-A,CHI-A,PHI-A,,FLA-A,NYI-H,,CGY-A,ARI-H,,NJD-H,,,DET-H
12/9/2015,,,MON-A,,,,,,PIT-H,,,SJS-H,,,,BOS-H,,,,VAN-A,,,COL-A,EDM-A,,,,NYR-H,,
12/10/2015,,,,CGY-A,,WPG-A,BUF-H,NSH-A,,,MON-H,,WSH-H,,,DET-A,,CHI-H,,,TBL-A,STL-A,,,PHI-H,OTT-H,,,CBJ-H,FLA-A
12/11/2015,CAR-H,MIN-H,,,ANH-A,,,WPG-H,,PHI-H,NJD-A,NYR-H,,PIT-A,ARI-A,,DET-H,,,EDM-A,,DAL-A,LAK-H,,,,,,CHI-A,
12/12/2015,,CAR-H,FLA-H,LAK-H,ARI-A,NYI-H,NYR-H,,NSH-A,STL-A,,,BOS-A,BUF-A,SJS-A,OTT-H,,COL-H,CBJ-A,CGY-A,MON-A,,,MIN-H,DAL-H,WSH-H,,,,TBL-A
12/13/2015,,,,,,,,VAN-H,STL-A,,,,,,,,NYI-A,,NJD-H,,,,,,COL-H,,,CHI-A,,
12/14/2015,,,EDM-H,DET-A,,TBL-H,,,,,BUF-H,BOS-A,,OTT-A,,,,,,,LAK-H,,WSH-H,,,CBJ-A,,,,PIT-A
12/15/2015,,,,NJD-H,PHI-A,DAL-A,NSH-A,COL-H,CHI-A,CBJ-H,,NYR-A,NYI-A,,VAN-H,SJS-H,BUF-A,CGY-H,FLA-H,EDM-H,,CAR-H,,MON-A,WPG-A,TOR-A,TBL-H,MIN-A,STL-H,
12/16/2015,,,PIT-H,,,,,,,,,,,,,,,,,,WSH-A,,BOS-A,,,,,,,OTT-H
12/17/2015,BUF-A,CBJ-H,,ANH-H,,ARI-A,DAL-A,EDM-H,NYI-H,CGY-H,,CHI-A,NJD-A,MON-A,NYR-H,LAK-H,FLA-H,STL-A,COL-A,MIN-A,,VAN-H,,TOR-A,NSH-H,,SJS-H,PHI-A,,
12/18/2015,,,PIT-A,,FLA-H,,,,,,VAN-H,,CAR-A,,,,,,,WPG-A,SJS-H,,BOS-H,OTT-A,,WSH-A,,DET-A,NYR-H,TBL-H
12/19/2015,NJD-A,NYI-H,,CHI-H,PIT-A,PHI-H,STL-A,BUF-A,EDM-H,MON-H,,COL-A,,TOR-A,NSH-A,DAL-A,ANH-H,MIN-H,ARI-A,,,CBJ-A,CAR-H,,CGY-H,,LAK-H,,,
12/20/2015,,,NJD-H,,,,DET-A,SJS-H,,,CGY-H,,VAN-H,,,,BOS-A,,,WSH-H,TBL-A,,,CHI-A,,OTT-H,,FLA-A,,NYR-A
12/21/2015,NYI-A,,,,WSH-H,PIT-A,,,TOR-H,MIN-A,,WPG-H,,,DAL-H,NSH-A,,MON-H,ANH-H,,,STL-H,CBJ-H,,PHI-A,,COL-A,,EDM-A,CAR-A
12/22/2015,NYR-A,TOR-H,STL-H,,,,WPG-H,DAL-A,,CHI-H,NJD-H,,OTT-H,SJS-H,MON-H,MIN-A,DET-A,,,ANH-H,FLA-A,,,LAK-A,BOS-A,VAN-H,ARI-A,TBL-A,CGY-A,
12/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/24/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/25/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/26/2015,,LAK-H,BUF-H,BOS-A,NJD-H,TBL-A,,,,STL-A,NSH-A,VAN-A,,ARI-A,PIT-H,WSH-A,CAR-A,DET-H,,,,,MIN-A,,DAL-H,CBJ-H,,EDM-H,,MON-H
12/27/2015,PHI-H,COL-A,OTT-A,,CHI-A,FLA-A,EDM-H,CAR-H,ARI-H,STL-H,,CGY-A,CBJ-H,,,,,,TOR-H,,BOS-H,ANH-A,WPG-A,,DAL-A,,NYI-A,,PIT-H,
12/28/2015,,,,WSH-H,,,,,SJS-A,,MIN-A,,,VAN-A,DET-H,TBL-A,,NYR-H,,NSH-A,,,,COL-H,,MON-H,,LAK-H,,BUF-A
12/29/2015,CGY-A,CHI-H,OTT-H,,NJD-A,DAL-H,ANH-H,ARI-A,,CBJ-A,WPG-A,LAK-H,MON-H,EDM-A,,FLA-A,CAR-H,STL-A,TOR-A,,BOS-A,,,,NSH-H,,NYI-H,,DET-H,
12/30/2015,,,,WSH-A,,,,,,,,,,,,,OTT-A,,,TBL-A,NJD-H,SJS-A,TOR-H,PHI-H,,NYR-H,PIT-A,,,BUF-H
12/31/2015,EDM-A,WPG-H,,NYI-H,WSH-H,,LAK-H,COL-A,CHI-H,NSH-H,PIT-H,ANH-H,,CGY-A,STL-A,,,DAL-A,BUF-A,,,,DET-A,,MIN-H,,,,ARI-A,CAR-A
1/1/2016,VAN-A,,MON-H,,,,,,,,,,,,,BOS-A,,,,,,,,,,,,ANH-H,,
1/2/2016,,EDM-A,,DET-H,NSH-H,WSH-H,COL-A,,CGY-H,NJD-A,BUF-A,ARI-H,NYR-H,PHI-H,TBL-A,,DAL-H,CAR-A,PIT-A,FLA-A,,LAK-A,NYI-H,WPG-H,TOR-A,MIN-H,STL-H,,SJS-A,CBJ-A
1/3/2016,WPG-H,,,,,,,OTT-H,,NYI-A,,,MIN-H,,FLA-A,,,,DAL-H,,CHI-A,,,,,,,,ANH-A,
1/4/2016,,VAN-A,,,EDM-A,,,,LAK-H,,NJD-A,CAR-H,,COL-A,,,DET-H,,,,STL-A,,,,OTT-H,,,ARI-H,,
1/5/2016,,,WSH-H,FLA-H,,MIN-H,TBL-H,PIT-A,,NYR-A,,,BUF-A,,CBJ-A,PHI-A,,WPG-H,,DAL-H,,MON-H,CHI-H,,,CGY-A,,,NSH-A,BOS-A
1/6/2016,TOR-H,,,,VAN-A,,,PIT-H,STL-H,,,,,,,NJD-H,MON-A,,,,,,CHI-A,,COL-A,,ANH-A,CAR-H,,
1/7/2016,,CGY-A,,,,,ARI-H,,,WPG-H,SJS-A,,OTT-A,TOR-H,PHI-H,,,,WSH-H,,FLA-H,MIN-A,,DET-H,,,LAK-A,,DAL-A,NYI-A
1/8/2016,STL-H,,NJD-A,CHI-A,CBJ-H,CAR-A,,BUF-H,NSH-H,,,TBL-H,,,,,BOS-H,COL-A,,,,,,,ANH-A,EDM-A,,,,
1/9/2016,,NSH-H,OTT-A,,CBJ-A,CAR-H,,,,MIN-H,,,,STL-H,DAL-A,PIT-H,,ARI-A,PHI-A,WSH-H,BOS-H,NYI-H,MON-A,TOR-H,LAK-A,VAN-A,SJS-A,TBL-H,,NYR-A
1/10/2016,DET-H,,,WPG-A,,,,COL-H,CHI-A,,ANH-A,FLA-H,EDM-A,,NJD-H,,MIN-A,,,,WSH-A,,,,,,,,BUF-H,OTT-H
1/11/2016,,,NYR-A,,,,SJS-H,,,,LAK-A,,VAN-A,DET-H,,,,,,BOS-H,,,,CGY-A,,,,FLA-H,,
1/12/2016,,EDM-H,,MIN-A,PIT-H,NYI-A,,NSH-H,TBL-H,,,ARI-A,,,BUF-H,,STL-A,CHI-A,CBJ-H,,,,CAR-A,WPG-A,NJD-H,COL-A,,,SJS-H,
1/13/2016,OTT-H,,PHI-A,,,TOR-A,FLA-H,,,,,,CGY-A,,,,,,,,ANH-A,BOS-H,,,,,CBJ-H,,,
1/14/2016,,DET-H,,,STL-A,,,MON-A,NJD-H,,ARI-A,SJS-A,,,,CHI-H,COL-A,WPG-A,NYR-H,NYI-A,,,,EDM-H,CAR-H,,,WSH-A,NSH-H,VAN-H
1/15/2016,DAL-H,,BUF-A,BOS-H,VAN-H,,,TOR-A,,ANH-A,,,,,WPG-H,,,,,,,,TBL-A,,,PIT-H,CHI-H,CAR-A,MIN-A,
1/16/2016,,NJD-H,TOR-H,WSH-H,,COL-H,EDM-A,,CBJ-A,SJS-A,,CGY-H,,OTT-H,NSH-A,STL-A,ARI-A,MIN-H,,PHI-A,LAK-A,NYR-H,,DAL-H,MON-H,,BOS-A,,,BUF-A
1/17/2016,LAK-H,,,,PIT-A,,,MON-H,,,PHI-H,,TBL-A,ANH-A,,CHI-A,,,VAN-H,WSH-A,,DET-A,CAR-H,,,FLA-H,,NYI-A,,NYR-H
1/18/2016,,BUF-H,,ARI-A,,,,,WPG-A,,,FLA-A,EDM-H,,,,,,,,SJS-A,,STL-A,OTT-H,PIT-H,,,,COL-H,
1/19/2016,,,MON-A,,,WSH-H,NJD-A,NSH-A,,LAK-A,,TBL-A,,DAL-H,,BOS-H,CGY-H,CHI-H,,VAN-H,,TOR-H,,,,EDM-H,PHI-A,NYR-A,,CBJ-A
1/20/2016,MIN-H,,,COL-A,,,,,BUF-H,,STL-H,,,,ANH-A,,,,,,,,,,DET-A,,,,,
1/21/2016,,SJS-H,VAN-H,,TOR-A,CGY-H,CBJ-A,TBL-A,,EDM-H,,DAL-A,,MIN-H,LAK-A,,OTT-H,WPG-A,,,NJD-A,PIT-A,PHI-H,ARI-A,,CHI-H,CAR-H,BOS-A,NSH-H,
1/22/2016,WSH-A,,,DET-H,NYR-H,,,FLA-A,STL-H,,BUF-A,,CHI-H,,,,,,OTT-A,CAR-A,NYI-H,,,,COL-A,,,,,ANH-H
1/23/2016,DET-A,LAK-H,CBJ-H,,,BOS-A,,,DAL-A,COL-H,ANH-H,NSH-H,TBL-H,ARI-A,SJS-A,TOR-A,WPG-A,EDM-A,PHI-H,,,NYI-A,VAN-H,MIN-H,,FLA-A,MON-H,PIT-A,NJD-H,
1/24/2016,,,,,CGY-H,,CAR-A,STL-H,,,,,,SJS-A,,,,,,OTT-A,NYR-H,,WSH-A,LAK-H,CHI-A,,,,,PIT-H
1/25/2016,,MIN-A,PHI-A,NYR-A,,MON-H,DAL-A,,,CGY-H,NYI-A,,,,ARI-H,CBJ-A,,,DET-H,BUF-H,,BOS-H,,,,,,,,
1/26/2016,BOS-A,WPG-A,ANH-H,OTT-A,CHI-H,MON-A,,CAR-A,SJS-A,,,,TOR-H,,,CBJ-H,PIT-A,VAN-A,,,BUF-H,,NJD-H,COL-H,,,FLA-A,NSH-H,ARI-H,
1/27/2016,,,,,,,NSH-H,,LAK-A,,,,,COL-H,,,,CGY-A,,,,WSH-A,,,,TOR-H,TBL-A,,,PHI-H
1/28/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/30/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/2016,SJS-H,LAK-H,TOR-H,,,EDM-A,,COL-A,CHI-H,WPG-A,,CBJ-H,WSH-A,ARI-A,NYI-A,PHI-A,NYR-H,STL-H,MIN-H,NJD-A,PIT-A,MON-H,OTT-H,ANH-A,NSH-A,,BOS-A,,DAL-H,FLA-H
2/3/2016,,,,MON-A,CGY-A,,CAR-H,,,,TBL-A,,,,,BUF-H,,,,,,,,,,DET-H,,,,
2/4/2016,LAK-A,CHI-H,BUF-A,BOS-H,,VAN-A,,ARI-A,DAL-H,COL-A,FLA-A,OTT-A,DET-H,ANH-H,NYR-A,,TOR-A,PHI-H,WSH-A,MIN-H,EDM-H,NSH-A,,STL-A,SJS-H,,NJD-H,CBJ-H,,NYI-H
2/5/2016,ARI-H,ANH-A,,,WPG-A,CGY-A,CBJ-H,,,,,,,,,,,,,,,,TBL-A,,,PIT-H,,,CAR-H,
2/6/2016,,,BUF-H,BOS-A,,,VAN-A,DAL-A,WPG-H,CHI-H,NYI-H,MON-A,PIT-H,,STL-A,EDM-H,WSH-H,SJS-H,DET-A,PHI-A,TOR-H,NYR-H,FLA-A,NSH-A,MIN-H,,OTT-A,CGY-H,COL-A,NJD-A
2/7/2016,,,,,MON-A,,,,,,,NYI-A,,,,CAR-H,,,EDM-H,,,WSH-A,,,,,,,,PHI-H
2/8/2016,PIT-A,,,,,,,,,,FLA-H,,DET-A,,,,NYR-A,,,NJD-H,TBL-H,,ANH-H,,,OTT-A,,,,
2/9/2016,PHI-A,,LAK-H,FLA-H,,NYI-H,TOR-H,SJS-H,VAN-H,MIN-A,,NJD-A,BUF-A,BOS-A,DAL-H,TBL-H,EDM-H,WSH-H,CBJ-A,,,ANH-H,,CHI-A,WPG-H,MON-A,CGY-A,COL-A,STL-A,NSH-A
2/10/2016,,VAN-H,,,,,,,,,OTT-H,,,,,,,,,PIT-A,DET-A,,NYR-H,,,,,ARI-A,,
2/11/2016,CBJ-A,,WPG-A,PHI-A,,ANH-H,SJS-A,DAL-H,OTT-A,CHI-A,,TOR-H,,NYI-A,WSH-H,,,,LAK-H,,COL-H,BUF-H,,CGY-H,,,EDM-A,,BOS-H,MIN-A
2/12/2016,,CGY-H,,MON-H,PIT-H,,ARI-A,,DET-A,,COL-H,,STL-H,NYR-A,,BUF-A,,TBL-A,,LAK-H,,,CAR-A,,FLA-A,NSH-H,,,,
2/13/2016,CHI-A,SJS-A,MIN-A,,NYI-H,OTT-H,,ANH-H,,WSH-H,,WPG-H,NSH-H,,BOS-H,,PHI-A,FLA-A,CAR-A,,CBJ-A,NJD-H,,ARI-H,,,VAN-A,TOR-H,EDM-A,DAL-A
2/14/2016,,,DET-A,COL-H,,,,,BUF-A,,BOS-H,,,NJD-A,,,LAK-H,,,PHI-H,,NYR-A,,,TBL-A,STL-H,,,,
2/15/2016,CGY-A,MON-H,,,,,ANH-H,TOR-H,,NSH-A,NYI-A,,PIT-H,,VAN-A,ARI-A,,DAL-H,DET-H,,,,FLA-A,,,,CHI-A,MIN-H,,
2/16/2016,EDM-A,,CBJ-A,OTT-A,WPG-H,BOS-H,,,,STL-A,,ANH-H,,WSH-A,,,PHI-H,,,,BUF-H,NJD-A,,TBL-A,DAL-H,SJS-H,,,CAR-A,LAK-H
2/17/2016,,,,,,,MIN-H,NYR-A,MON-H,,,,,,CGY-A,COL-A,,,,CHI-H,,,,,,,,,,
2/18/2016,VAN-A,DAL-H,NSH-A,,OTT-A,,,,,ARI-A,PIT-A,MIN-H,SJS-H,STL-A,EDM-A,,,BOS-H,WSH-H,TOR-A,CAR-H,,DET-H,FLA-A,LAK-H,WPG-H,NYR-H,ANH-H,TBL-A,NYI-A
2/19/2016,,,,CBJ-A,SJS-H,BUF-H,VAN-H,,,,,,,,,PHI-H,NYI-H,,NJD-A,,,MON-A,,CAR-A,,,,CGY-A,,
2/20/2016,,STL-H,DAL-A,,,,,,EDM-A,BOS-H,OTT-A,COL-H,WPG-H,NSH-A,,,WSH-A,LAK-H,,,DET-H,TOR-A,TBL-H,,ARI-A,PIT-A,PHI-H,,FLA-A,NJD-H
