DATE\TEAM,ANH,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MON,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WPG,WSH
12/29/2014,,PHI-H,DET-H,OTT-A,MON-H,,LAK-H,NSH-H,STL-A,NYR-H,BOS-A,,,CGY-A,WPG-A,CAR-A,PIT-H,CHI-A,WSH-H,DAL-A,BUF-H,ARI-A,NJD-A,,COL-H,TOR-H,TBL-A,,MIN-H,NYI-A
12/30/2014,,,,,,,,,,,,LAK-H,MON-H,EDM-A,,FLA-A,,STL-H,,,,,,VAN-H,NSH-A,,,SJS-A,,
12/31/2014,SJS-H,DAL-A,TOR-H,TBL-H,PIT-A,MIN-H,EDM-H,,PHI-H,ARI-H,NJD-H,CGY-A,NYR-H,,CBJ-A,,DET-A,,WPG-A,FLA-A,,COL-A,CAR-H,ANH-A,,BUF-A,BOS-A,,NYI-H,
1/1/2015,,,,,,,,WSH-A,,,,,,VAN-A,,,,,,,,,,,,,,LAK-H,,CHI-H
1/2/2015,STL-H,,,FLA-H,PHI-H,,NYI-H,,EDM-H,,,COL-A,BUF-A,,TOR-H,NJD-A,MON-H,,CGY-A,,,CAR-A,TBL-H,,ANH-A,PIT-A,MIN-A,,,
1/3/2015,,CBJ-H,OTT-H,NYR-A,,ARI-A,,,,MIN-H,VAN-A,,,NSH-H,DAL-A,PIT-A,PHI-H,LAK-A,,BUF-H,BOS-A,NJD-A,MON-H,STL-H,SJS-A,,WPG-A,DET-H,TOR-H,
1/4/2015,NSH-H,,CAR-A,,BOS-H,COL-A,,DAL-H,CBJ-H,CHI-A,,NYI-H,WSH-A,,,,,ANH-A,EDM-A,,TBL-H,,,,,OTT-A,,,,FLA-H
1/5/2015,,,,,,,,,,,,,,,,,,,,,,,,WPG-A,,,,,SJS-H,
1/6/2015,,STL-H,,NJD-A,NSH-A,DAL-A,,COL-H,CHI-A,CBJ-H,EDM-A,DET-H,,,SJS-H,TBL-H,BUF-H,CAR-H,VAN-A,,PHI-A,OTT-H,,MIN-A,ARI-A,MON-A,,NYI-H,,
1/7/2015,NYR-H,,PIT-A,,,,DET-H,,,,CGY-A,,,,,,,,,ANH-A,,,BOS-H,,,,WSH-H,,,TOR-A
1/8/2015,,WPG-H,NJD-H,CAR-A,BUF-H,,,MIN-A,OTT-H,NSH-A,,,VAN-A,NYR-H,CHI-H,,BOS-A,DAL-H,,LAK-A,COL-A,WSH-H,,STL-A,SJS-H,,,FLA-H,ARI-A,PHI-A
1/9/2015,,,,TBL-A,,TOR-A,FLA-H,EDM-A,,,,CHI-H,CGY-A,,,,NYI-H,,NJD-A,,,,,,,BUF-H,CBJ-H,,,
1/10/2015,,OTT-H,PHI-A,,STL-A,NYI-H,VAN-A,,DAL-H,COL-A,WSH-A,,,WPG-H,NSH-H,PIT-H,,MIN-A,CBJ-A,SJS-A,ARI-A,BOS-H,MON-A,NYR-H,CAR-H,,,CGY-H,LAK-A,DET-H
1/11/2015,WPG-H,,,,,,,MIN-H,,,,FLA-H,EDM-A,,CHI-A,,,,,,,,,,,,,,ANH-A,
1/12/2015,,,,,,,,,WSH-A,,,,,TOR-H,,,,,,,,TBL-H,,,,PHI-A,LAK-A,,,COL-H
1/13/2015,,SJS-H,TBL-H,DET-H,COL-H,,,,CAR-A,OTT-H,BUF-A,STL-A,WPG-A,,PIT-A,,,VAN-H,NYR-A,NYI-H,DAL-A,,MIN-H,ARI-A,EDM-H,BOS-A,,NSH-A,FLA-H,
1/14/2015,TOR-H,,,,,MON-H,,,,,,,,NJD-H,,CBJ-A,LAK-A,,,,,WSH-A,,,,,ANH-A,,,PHI-H
1/15/2015,,CGY-H,NYR-H,MIN-H,,,ARI-A,,FLA-A,WPG-H,STL-A,TBL-A,COL-H,,BUF-A,OTT-A,,,,BOS-A,MON-H,VAN-H,,TOR-H,DET-H,EDM-H,SJS-A,PHI-A,DAL-A,
1/16/2015,NJD-H,,,,VAN-H,NYR-H,,WPG-H,,,,,,,,,ANH-A,WSH-H,PIT-H,CBJ-A,,,NYI-A,,,,,CAR-A,CHI-A,NSH-A
1/17/2015,LAK-A,MIN-A,CBJ-H,PHI-H,OTT-A,BOS-A,SJS-A,,TBL-A,WSH-H,NSH-H,FLA-A,EDM-H,ANH-H,ARI-H,NYI-H,,DET-A,MON-A,,CAR-H,BUF-A,,CGY-H,TOR-H,COL-H,STL-A,,,DAL-A
1/18/2015,,WPG-A,,DET-A,,,,DAL-H,,CHI-A,BUF-H,,,,,,,,,PIT-A,,,NYR-H,,,,,,ARI-H,
1/19/2015,,,,,TOR-A,MIN-A,LAK-A,,STL-A,,,,VAN-H,CGY-H,CBJ-H,,SJS-A,,PHI-H,,,NYI-A,,NJD-H,COL-H,,CAR-H,FLA-A,,
1/20/2015,,CHI-A,DAL-A,,,,,ARI-H,,BOS-H,MIN-H,WSH-A,,,DET-A,NSH-H,,MON-A,,OTT-H,NYR-A,PIT-H,PHI-A,,,VAN-H,,TBL-A,,EDM-H
1/21/2015,CGY-H,,COL-A,,,WPG-A,ANH-A,PIT-A,BOS-H,,,,,SJS-A,,,,,,,TOR-H,,CHI-H,LAK-H,,,OTT-A,,CBJ-H,
1/22/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/2015,VAN-A,PHI-A,,CGY-A,TBL-H,WSH-H,BUF-H,,NSH-A,MON-A,FLA-A,MIN-H,DET-H,,EDM-A,DAL-H,,COL-H,NYR-H,NYI-A,,ARI-H,WPG-H,,,CAR-A,,ANH-H,PIT-A,CBJ-A
1/28/2015,,,,,,,,LAK-A,,,,,,CHI-H,,,TOR-H,,,,,,WSH-A,,,,NJD-A,,,PIT-H
1/29/2015,SJS-A,TOR-A,NYI-A,EDM-A,,FLA-A,MIN-H,,,OTT-A,TBL-A,BUF-H,CBJ-H,,CGY-A,NYR-A,,STL-A,BOS-H,MON-H,DAL-H,WPG-H,,ANH-H,NSH-H,DET-H,ARI-H,,PHI-A,
1/30/2015,CHI-H,,,VAN-A,STL-H,,,ANH-A,NSH-H,,,,,,,,PIT-H,COL-A,,,,,NJD-A,,CAR-A,,,BUF-H,,
1/31/2015,,OTT-A,LAK-H,,NYR-A,TBL-A,EDM-H,SJS-A,,WPG-A,NYI-H,CGY-A,NJD-A,BOS-A,,WSH-H,FLA-H,,DET-A,CAR-H,ARI-H,TOR-H,,CHI-H,,CBJ-H,PHI-A,,DAL-H,MON-A
2/1/2015,,MON-A,,,,,,,,,,,,,VAN-A,ARI-H,,PIT-A,,,,,NSH-H,,WSH-A,,,MIN-H,,STL-H
2/2/2015,,,,,,,WPG-H,,,,,SJS-A,NYR-A,,,,,,,FLA-H,,,,EDM-H,,,,,CGY-A,
2/3/2015,CAR-H,CBJ-A,,MON-A,ANH-A,ARI-H,,MIN-A,DAL-A,COL-H,,,NYI-A,WSH-A,CHI-H,BUF-H,OTT-H,TOR-H,FLA-H,,NJD-A,,,,TBL-H,STL-A,NSH-A,WPG-H,VAN-A,LAK-H
2/4/2015,,,NYR-A,,,,SJS-H,,,,,PIT-H,,,,,,,,BOS-H,,,EDM-A,CGY-A,,,,,,
2/5/2015,NSH-A,CAR-H,,STL-H,ARI-A,,,,DET-H,TBL-H,COL-A,,LAK-H,FLA-A,,,,ANH-H,PHI-A,,WSH-H,NYI-H,,VAN-A,BUF-A,DAL-A,,SJS-H,,OTT-A
2/6/2015,WSH-A,,,,,STL-H,PIT-H,WPG-A,,,,,,,,,TOR-H,,,,,,CGY-A,,CBJ-A,,NJD-A,,CHI-H,ANH-H
2/7/2015,,DET-H,NYI-H,DAL-H,SJS-A,OTT-A,,,MIN-A,BUF-A,ARI-A,TOR-A,,TBL-A,COL-H,NJD-H,MON-A,NYR-H,BOS-A,NSH-A,CBJ-H,,VAN-A,CAR-H,,LAK-H,EDM-H,PIT-H,,
2/8/2015,TBL-A,,MON-H,NYI-H,,,,STL-A,WPG-A,NYR-A,,,NSH-H,,,BOS-A,,FLA-A,BUF-A,DAL-H,,WSH-A,,,CHI-H,ANH-H,,,COL-H,PHI-H
2/9/2015,,CHI-A,,,,LAK-H,SJS-A,ARI-H,,,,NJD-A,,CBJ-A,VAN-H,,EDM-H,,,,,,,CGY-H,,,,MIN-A,,
2/10/2015,FLA-A,STL-A,DAL-H,OTT-H,,,,,,BOS-A,,NYI-A,ANH-H,,WPG-A,PHI-H,,TBL-H,EDM-H,TOR-A,BUF-A,MON-A,,,ARI-H,NSH-A,NYR-H,,MIN-H,
2/11/2015,,,,,,,,VAN-H,,,PIT-A,,,,,,,,,,,,DET-H,WSH-H,,,,CHI-A,,SJS-A
2/12/2015,CAR-A,,,,ANH-H,,LAK-A,,NYR-H,,,MON-A,MIN-A,CGY-H,FLA-H,EDM-H,,WPG-H,TOR-H,COL-A,PIT-H,,OTT-A,,TBL-A,STL-H,NYI-A,,NSH-A,
2/13/2015,,SJS-H,VAN-A,,,PHI-H,,NJD-H,,FLA-H,,,DAL-A,,,,CHI-A,,,,,CBJ-A,,ARI-A,,,,BOS-H,,
2/14/2015,,NYR-H,,,MIN-A,NYI-A,VAN-H,,DAL-H,COL-A,WPG-H,OTT-A,,WSH-H,CAR-H,TOR-H,NSH-A,NJD-H,CBJ-H,ARI-A,EDM-H,,,,,,MON-A,CGY-A,DET-A,LAK-A
2/15/2015,WSH-H,,,PHI-H,,,,PIT-H,,,,,STL-H,,,,,,,,,BUF-A,CHI-A,TBL-H,FLA-A,SJS-A,,,,ANH-A
2/16/2015,,COL-A,CGY-A,,OTT-A,,BOS-H,,ARI-H,,MON-H,WPG-A,,TBL-H,VAN-A,DET-A,,,NYR-H,NYI-A,CAR-H,,,,,LAK-A,,MIN-H,EDM-H,
2/17/2015,,,,NJD-A,NYI-H,PHI-A,,,,STL-A,,,TOR-A,,,,BUF-H,SJS-H,CAR-A,,,CBJ-H,WSH-H,NSH-A,DAL-H,,FLA-H,,,PIT-A
2/18/2015,TBL-H,,EDM-A,,,,MIN-H,DET-H,LAK-H,,CHI-A,BOS-H,,COL-A,CGY-A,OTT-A,,,,,MON-H,,,,,ANH-A,,,,
2/19/2015,,,,PHI-A,,PIT-A,,,,SJS-H,,,MON-A,,,FLA-H,,NYI-A,NSH-H,VAN-H,,BUF-H,CBJ-H,DAL-A,,,,NYR-A,WSH-A,WPG-H
2/20/2015,CGY-A,,STL-A,NYR-H,TOR-H,,ANH-H,COL-H,CHI-A,,,MIN-H,,,EDM-A,,VAN-H,,,BUF-A,,,,,BOS-H,,CAR-A,NJD-A,,
2/21/2015,EDM-A,TBL-H,,,NJD-A,MON-A,,,,DET-H,DAL-A,ANH-H,OTT-A,SJS-A,,CBJ-H,CAR-H,PHI-A,WSH-A,,FLA-H,NSH-H,STL-A,LAK-H,PIT-H,ARI-A,WPG-H,,TOR-A,NYI-H
